Gene	Chromosome	Strand	Position	Raw DRS read count	pA peak number
AT1G01540	chr1	fwd	198634	22	4th_peak
AT1G01540	chr1	fwd	198652	17	5th_peak
AT1G01550	chr1	fwd	201657	59	7th_peak
AT1G01550	chr1	fwd	201675	111.1	6th_peak
AT1G01550	chr1	fwd	201685	33.7	8th_peak
AT1G01550	chr1	fwd	201690	10.8	9th_peak
AT1G01550	chr1	fwd	201701	149	4th_peak
AT1G01550	chr1	fwd	201718	525.7	2nd_peak
AT1G01550	chr1	fwd	201727	222.7	3rd_peak
AT1G01550	chr1	fwd	201738	147.6	5th_peak
AT1G01550	chr1	fwd	201753	1035.3	1st_peak
AT1G01610	chr1	rev	221710	11	5th_peak
AT1G01610	chr1	rev	221741	29.5	4th_peak
AT1G01610	chr1	rev	221759	62.1	3rd_peak
AT1G01610	chr1	rev	221774	211.5	1st_peak
AT1G01610	chr1	rev	221796	165.9	2nd_peak
AT1G01620	chr1	rev	225739	12.9	10th_peak
AT1G01620	chr1	rev	225744	14.3	9th_peak
AT1G01620	chr1	rev	225750	24.9	8th_peak
AT1G01620	chr1	rev	225801	50.2	7th_peak
AT1G01620	chr1	rev	225807	84	5th_peak
AT1G01620	chr1	rev	225816	2196.4	1st_peak
AT1G01620	chr1	rev	225840	111	4th_peak
AT1G01620	chr1	rev	225870	1237	2nd_peak
AT1G01620	chr1	rev	225893	143.5	3rd_peak
AT1G01620	chr1	rev	225907	10.4	11th_peak
AT1G01620	chr1	rev	225916	50.3	6th_peak
AT1G01630	chr1	fwd	230769	64	2nd_peak
AT1G01630	chr1	fwd	230799	10	5th_peak
AT1G01630	chr1	fwd	230823	44.6	3rd_peak
AT1G01630	chr1	fwd	230841	87.2	1st_peak
AT1G01630	chr1	fwd	230855	10	6th_peak
AT1G01630	chr1	fwd	230882	29.7	4th_peak
AT1G01640	chr1	rev	230972	33	1st_peak
AT1G01640	chr1	rev	230992	21.5	2nd_peak
AT1G01650	chr1	rev	232926	18.9	4th_peak
AT1G01650	chr1	rev	232952	28	2nd_peak
AT1G01650	chr1	rev	233013	71.8	1st_peak
AT1G01650	chr1	rev	233034	27.6	3rd_peak
AT1G01650	chr1	rev	233068	17.8	5th_peak
AT1G01710	chr1	fwd	266200	48.7	2nd_peak
AT1G01710	chr1	fwd	266216	89	1st_peak
AT1G01710	chr1	fwd	266232	28	3rd_peak
AT1G01710	chr1	fwd	267770	10	5th_peak
AT1G01710	chr1	fwd	267780	14.6	4th_peak
AT1G01720	chr1	fwd	269734	16	9th_peak
AT1G01720	chr1	fwd	269753	79	4th_peak
AT1G01720	chr1	fwd	269763	51	6th_peak
AT1G01720	chr1	fwd	269778	64.8	5th_peak
AT1G01720	chr1	fwd	269785	182	1st_peak
AT1G01720	chr1	fwd	269798	26.1	8th_peak
AT1G01720	chr1	fwd	269805	107.1	3rd_peak
AT1G01720	chr1	fwd	269818	112.8	2nd_peak
AT1G01720	chr1	fwd	269857	43.4	7th_peak
AT1G01725	chr1	rev	269789	16.7	4th_peak
AT1G01725	chr1	rev	269835	193.9	1st_peak
AT1G01725	chr1	rev	269845	93.7	2nd_peak
AT1G01725	chr1	rev	269852	45.9	3rd_peak
AT1G01725	chr1	rev	269869	11	6th_peak
AT1G01725	chr1	rev	269878	13	5th_peak
AT1G01730	chr1	fwd	271970	10.7	3rd_peak
AT1G01730	chr1	fwd	271987	49	2nd_peak
AT1G01730	chr1	fwd	272006	175	1st_peak
AT1G01750	chr1	fwd	276255	19	2nd_peak
AT1G01750	chr1	fwd	276292	11.3	3rd_peak
AT1G01750	chr1	fwd	276309	74	1st_peak
AT1G01780	chr1	fwd	284235	10	1st_peak
AT1G01790	chr1	fwd	291022	15.8	4th_peak
AT1G01790	chr1	fwd	291036	123.7	1st_peak
AT1G01790	chr1	fwd	291052	33.1	2nd_peak
AT1G01790	chr1	fwd	291067	22.4	3rd_peak
AT1G01800	chr1	fwd	294976	11.3	4th_peak
AT1G01800	chr1	fwd	295001	43	2nd_peak
AT1G01800	chr1	fwd	295019	324.7	1st_peak
AT1G01800	chr1	fwd	295039	43	3rd_peak
AT1G01820	chr1	rev	295992	25.7	6th_peak
AT1G01820	chr1	rev	296004	98.6	1st_peak
AT1G01820	chr1	rev	296011	82.1	2nd_peak
AT1G01820	chr1	rev	296023	62.9	5th_peak
AT1G01820	chr1	rev	296044	70.6	3rd_peak
AT1G01820	chr1	rev	296051	25.2	7th_peak
AT1G01820	chr1	rev	296056	11.9	8th_peak
AT1G01820	chr1	rev	296064	64.4	4th_peak
AT1G01830	chr1	rev	298602	77.6	1st_peak
AT1G01830	chr1	rev	298625	24	2nd_peak
AT1G01860	chr1	rev	304130	13.6	2nd_peak
AT1G01860	chr1	rev	304135	13.4	3rd_peak
AT1G01860	chr1	rev	304148	27	1st_peak
AT1G01910	chr1	rev	313216	18.7	4th_peak
AT1G01910	chr1	rev	313229	25.5	3rd_peak
AT1G01910	chr1	rev	313261	61.4	1st_peak
AT1G01910	chr1	rev	313422	44.4	2nd_peak
AT1G01920	chr1	fwd	319588	11	2nd_peak
AT1G01920	chr1	fwd	319643	13	1st_peak
AT1G01950	chr1	fwd	330509	15	1st_peak
AT1G01950	chr1	fwd	330518	12	2nd_peak
AT1G01960	chr1	rev	330588	95.9	2nd_peak
AT1G01960	chr1	rev	330600	153.1	1st_peak
AT1G01960	chr1	rev	330618	29	3rd_peak
AT1G01970	chr1	fwd	340060	53	1st_peak
AT1G01990	chr1	rev	343237	17	4th_peak
AT1G01990	chr1	rev	343249	33	2nd_peak
AT1G01990	chr1	rev	343268	90	1st_peak
AT1G01990	chr1	rev	343281	20.6	3rd_peak
AT1G01990	chr1	rev	343305	10	5th_peak
AT1G02000	chr1	fwd	347464	11	4th_peak
AT1G02000	chr1	fwd	347514	31.9	1st_peak
AT1G02000	chr1	fwd	347530	13.5	3rd_peak
AT1G02000	chr1	fwd	347592	14	2nd_peak
AT1G02010	chr1	fwd	352511	34.5	1st_peak
AT1G02020	chr1	rev	352698	25	1st_peak
AT1G02050	chr1	rev	359102	25.5	1st_peak
AT1G02070	chr1	rev	370256	11	1st_peak
AT1G02080	chr1	fwd	386799	10.9	2nd_peak
AT1G02080	chr1	fwd	386819	19	1st_peak
AT1G02090	chr1	rev	387273	14.5	4th_peak
AT1G02090	chr1	rev	387281	21	3rd_peak
AT1G02090	chr1	rev	387304	69	1st_peak
AT1G02090	chr1	rev	387329	38.2	2nd_peak
AT1G02100	chr1	fwd	392825	79.9	1st_peak
AT1G02100	chr1	fwd	392838	23.4	2nd_peak
AT1G02110	chr1	fwd	395529	128	1st_peak
AT1G02120	chr1	fwd	399899	189.5	1st_peak
AT1G02120	chr1	fwd	399917	57.3	2nd_peak
AT1G02120	chr1	fwd	399923	12.8	4th_peak
AT1G02120	chr1	fwd	399941	38	3rd_peak
AT1G02130	chr1	rev	400092	332.2	1st_peak
AT1G02130	chr1	rev	400106	12	3rd_peak
AT1G02130	chr1	rev	400148	26.8	2nd_peak
AT1G02130	chr1	rev	400182	10.2	5th_peak
AT1G02130	chr1	rev	400187	11.8	4th_peak
AT1G02140	chr1	rev	403197	27.1	5th_peak
AT1G02140	chr1	rev	403214	240.2	2nd_peak
AT1G02140	chr1	rev	403235	98.3	4th_peak
AT1G02140	chr1	rev	403243	269.3	1st_peak
AT1G02140	chr1	rev	403257	177.1	3rd_peak
AT1G02140	chr1	rev	403312	12.4	6th_peak
AT1G02145	chr1	fwd	408643	32.6	1st_peak
AT1G02145	chr1	fwd	408652	18.7	2nd_peak
AT1G02150	chr1	fwd	410514	91	3rd_peak
AT1G02150	chr1	fwd	410533	10	7th_peak
AT1G02150	chr1	fwd	410545	15.5	6th_peak
AT1G02150	chr1	fwd	410561	19.9	5th_peak
AT1G02150	chr1	fwd	410569	227.7	2nd_peak
AT1G02150	chr1	fwd	410579	299.4	1st_peak
AT1G02150	chr1	fwd	410597	36.2	4th_peak
AT1G02160	chr1	fwd	411506	16.9	6th_peak
AT1G02160	chr1	fwd	411512	13.2	8th_peak
AT1G02160	chr1	fwd	411524	66.5	1st_peak
AT1G02160	chr1	fwd	411532	58.4	3rd_peak
AT1G02160	chr1	fwd	411552	56.1	4th_peak
AT1G02160	chr1	fwd	411559	18.1	5th_peak
AT1G02160	chr1	fwd	411586	60.9	2nd_peak
AT1G02160	chr1	fwd	411606	13.9	7th_peak
AT1G02170	chr1	fwd	413552	111.6	1st_peak
AT1G02170	chr1	fwd	413570	36	2nd_peak
AT1G02180	chr1	rev	413527	15	1st_peak
AT1G02205	chr1	fwd	422367	24	1st_peak
AT1G02260	chr1	rev	440462	30.5	2nd_peak
AT1G02260	chr1	rev	440643	31.8	1st_peak
AT1G02270	chr1	rev	443192	26.1	2nd_peak
AT1G02270	chr1	rev	443223	45.8	1st_peak
AT1G02280	chr1	rev	448473	201	1st_peak
AT1G02280	chr1	rev	448493	140.4	2nd_peak
AT1G02290	chr1	rev	450527	37	1st_peak
AT1G02290	chr1	rev	450543	12	2nd_peak
AT1G02300	chr1	fwd	455463	84.5	2nd_peak
AT1G02300	chr1	fwd	455478	15.4	4th_peak
AT1G02300	chr1	fwd	455490	16.1	3rd_peak
AT1G02300	chr1	fwd	455495	11	6th_peak
AT1G02300	chr1	fwd	455506	11.7	5th_peak
AT1G02300	chr1	fwd	455517	125	1st_peak
AT1G02305	chr1	fwd	458055	155.7	2nd_peak
AT1G02305	chr1	fwd	458073	25.7	5th_peak
AT1G02305	chr1	fwd	458080	42.1	3rd_peak
AT1G02305	chr1	fwd	458088	17.8	7th_peak
AT1G02305	chr1	fwd	458099	21.6	6th_peak
AT1G02305	chr1	fwd	458124	316.4	1st_peak
AT1G02305	chr1	fwd	458150	35.1	4th_peak
AT1G02305	chr1	fwd	458158	11.6	8th_peak
AT1G02310	chr1	rev	458141	17.5	1st_peak
AT1G02330	chr1	rev	462050	16.2	4th_peak
AT1G02330	chr1	rev	462054	33.8	2nd_peak
AT1G02330	chr1	rev	462070	11.7	5th_peak
AT1G02330	chr1	rev	462076	26.5	3rd_peak
AT1G02330	chr1	rev	462083	51.8	1st_peak
AT1G02335	chr1	rev	463857	10.5	3rd_peak
AT1G02335	chr1	rev	463862	10	4th_peak
AT1G02335	chr1	rev	463874	115.7	1st_peak
AT1G02335	chr1	rev	463893	17	2nd_peak
AT1G02340	chr1	rev	465769	79.3	1st_peak
AT1G02360	chr1	rev	471991	39	1st_peak
AT1G02380	chr1	fwd	478972	26.8	1st_peak
AT1G02400	chr1	fwd	489509	11.6	1st_peak
AT1G02410	chr1	fwd	492861	36.6	1st_peak
AT1G02410	chr1	fwd	492926	11.4	2nd_peak
AT1G02470	chr1	rev	511768	91.2	1st_peak
AT1G02475	chr1	rev	513839	58	4th_peak
AT1G02475	chr1	rev	513858	24	5th_peak
AT1G02475	chr1	rev	513884	390.2	1st_peak
AT1G02475	chr1	rev	513892	86.8	3rd_peak
AT1G02475	chr1	rev	513913	194.6	2nd_peak
AT1G02500	chr1	fwd	520311	13.4	9th_peak
AT1G02500	chr1	fwd	520327	120	6th_peak
AT1G02500	chr1	fwd	520349	922.3	2nd_peak
AT1G02500	chr1	fwd	520358	1152.8	1st_peak
AT1G02500	chr1	fwd	520376	303.8	4th_peak
AT1G02500	chr1	fwd	520394	329.3	3rd_peak
AT1G02500	chr1	fwd	520410	15.3	8th_peak
AT1G02500	chr1	fwd	520422	127.3	5th_peak
AT1G02500	chr1	fwd	520438	38.3	7th_peak
AT1G02560	chr1	fwd	539921	22.8	6th_peak
AT1G02560	chr1	fwd	539967	736.3	2nd_peak
AT1G02560	chr1	fwd	539985	1242.7	1st_peak
AT1G02560	chr1	fwd	540000	17.7	8th_peak
AT1G02560	chr1	fwd	540016	95.8	4th_peak
AT1G02560	chr1	fwd	540033	58.4	5th_peak
AT1G02560	chr1	fwd	540080	141.8	3rd_peak
AT1G02560	chr1	fwd	540108	20	7th_peak
AT1G02610	chr1	rev	553019	36.4	2nd_peak
AT1G02610	chr1	rev	553044	11.9	3rd_peak
AT1G02610	chr1	rev	553060	10.8	4th_peak
AT1G02610	chr1	rev	553067	62.2	1st_peak
AT1G02640	chr1	fwd	567648	33.4	1st_peak
AT1G02640	chr1	fwd	567660	11	4th_peak
AT1G02640	chr1	fwd	567682	15	3rd_peak
AT1G02640	chr1	fwd	567699	29	2nd_peak
AT1G02660	chr1	rev	571953	25.5	2nd_peak
AT1G02660	chr1	rev	571968	16	4th_peak
AT1G02660	chr1	rev	571980	12	6th_peak
AT1G02660	chr1	rev	572009	14.9	5th_peak
AT1G02660	chr1	rev	572018	21.4	3rd_peak
AT1G02660	chr1	rev	572031	34	1st_peak
AT1G02680	chr1	fwd	582106	12	1st_peak
AT1G02680	chr1	fwd	582154	10.4	2nd_peak
AT1G02680	chr1	fwd	582222	10.3	3rd_peak
AT1G02690	chr1	fwd	587219	47	1st_peak
AT1G02720	chr1	fwd	594225	31	1st_peak
AT1G02730	chr1	rev	594576	23.9	1st_peak
AT1G02730	chr1	rev	594590	21.6	2nd_peak
AT1G02750	chr1	fwd	604272	81.9	2nd_peak
AT1G02750	chr1	fwd	604285	129.1	1st_peak
AT1G02780	chr1	rev	607808	29.9	10th_peak
AT1G02780	chr1	rev	607847	10	13th_peak
AT1G02780	chr1	rev	607860	71.4	7th_peak
AT1G02780	chr1	rev	607868	18.6	12th_peak
AT1G02780	chr1	rev	607881	38.6	9th_peak
AT1G02780	chr1	rev	607893	105.3	5th_peak
AT1G02780	chr1	rev	607924	102.6	6th_peak
AT1G02780	chr1	rev	607934	147.3	3rd_peak
AT1G02780	chr1	rev	607948	1052.1	1st_peak
AT1G02780	chr1	rev	607962	749.4	2nd_peak
AT1G02780	chr1	rev	607974	123.8	4th_peak
AT1G02780	chr1	rev	607984	28.5	11th_peak
AT1G02780	chr1	rev	607990	65.3	8th_peak
AT1G02810	chr1	fwd	620430	17.1	1st_peak
AT1G02816	chr1	fwd	622293	58.3	4th_peak
AT1G02816	chr1	fwd	622301	76.7	1st_peak
AT1G02816	chr1	fwd	622308	66.4	3rd_peak
AT1G02816	chr1	fwd	622314	26.5	5th_peak
AT1G02816	chr1	fwd	622332	69	2nd_peak
AT1G02816	chr1	fwd	622357	15	6th_peak
AT1G02820	chr1	rev	623752	19	4th_peak
AT1G02820	chr1	rev	623766	59.5	2nd_peak
AT1G02820	chr1	rev	623773	30.8	3rd_peak
AT1G02820	chr1	rev	623780	78.6	1st_peak
AT1G02820	chr1	rev	623789	14.1	6th_peak
AT1G02820	chr1	rev	623802	17	5th_peak
AT1G02840	chr1	fwd	629724	14.6	2nd_peak
AT1G02840	chr1	fwd	629737	13	3rd_peak
AT1G02840	chr1	fwd	629810	137.2	1st_peak
AT1G02850	chr1	fwd	633176	62.7	3rd_peak
AT1G02850	chr1	fwd	633225	77.3	2nd_peak
AT1G02850	chr1	fwd	633258	111	1st_peak
AT1G02850	chr1	fwd	633272	14	5th_peak
AT1G02850	chr1	fwd	633298	32.7	4th_peak
AT1G02860	chr1	fwd	637249	11	2nd_peak
AT1G02860	chr1	fwd	637260	125	1st_peak
AT1G02870	chr1	rev	637306	16.9	1st_peak
AT1G02870	chr1	rev	637316	14.4	2nd_peak
AT1G02880	chr1	rev	642928	10	1st_peak
AT1G02890	chr1	rev	645092	21.2	1st_peak
AT1G02890	chr1	rev	645097	17	3rd_peak
AT1G02890	chr1	rev	645132	16.8	4th_peak
AT1G02890	chr1	rev	645145	20.7	2nd_peak
AT1G02890	chr1	rev	645195	11	5th_peak
AT1G02900	chr1	rev	653740	40.2	4th_peak
AT1G02900	chr1	rev	653748	39.5	5th_peak
AT1G02900	chr1	rev	653764	35.1	6th_peak
AT1G02900	chr1	rev	653774	71.8	2nd_peak
AT1G02900	chr1	rev	653792	88	1st_peak
AT1G02900	chr1	rev	653844	42	3rd_peak
AT1G02910	chr1	rev	655571	82	1st_peak
AT1G02920	chr1	rev	658629	18	4th_peak
AT1G02920	chr1	rev	658640	10.9	5th_peak
AT1G02920	chr1	rev	658649	111	1st_peak
AT1G02920	chr1	rev	658669	46	3rd_peak
AT1G02920	chr1	rev	658690	63	2nd_peak
AT1G02930	chr1	rev	661168	13.8	4th_peak
AT1G02930	chr1	rev	661172	18.5	3rd_peak
AT1G02930	chr1	rev	661185	541.8	1st_peak
AT1G02930	chr1	rev	661204	35.2	2nd_peak
AT1G02960	chr1	rev	666911	19.2	2nd_peak
AT1G02960	chr1	rev	666922	30	1st_peak
AT1G02990	chr1	rev	681501	12.7	1st_peak
AT1G03000	chr1	rev	687886	77	1st_peak
AT1G03000	chr1	rev	687909	10.6	2nd_peak
AT1G03030	chr1	fwd	703796	86.6	1st_peak
AT1G03030	chr1	fwd	703807	82.3	2nd_peak
AT1G03030	chr1	fwd	703817	39.3	3rd_peak
AT1G03030	chr1	fwd	703827	17.8	4th_peak
AT1G03040	chr1	rev	703907	131	1st_peak
AT1G03040	chr1	rev	703957	54	2nd_peak
AT1G03060	chr1	rev	712472	47.2	1st_peak
AT1G03070	chr1	fwd	731555	11	1st_peak
AT1G03080	chr1	rev	731626	18	2nd_peak
AT1G03080	chr1	rev	731704	139.6	1st_peak
AT1G03090	chr1	fwd	743937	290.7	1st_peak
AT1G03090	chr1	fwd	743956	114.3	2nd_peak
AT1G03090	chr1	fwd	743987	10	4th_peak
AT1G03090	chr1	fwd	744049	12	3rd_peak
AT1G03130	chr1	rev	753305	20	11th_peak
AT1G03130	chr1	rev	753338	22	10th_peak
AT1G03130	chr1	rev	753347	23	9th_peak
AT1G03130	chr1	rev	753363	16.3	12th_peak
AT1G03130	chr1	rev	753397	730	3rd_peak
AT1G03130	chr1	rev	753419	7731.2	1st_peak
AT1G03130	chr1	rev	753437	164.2	5th_peak
AT1G03130	chr1	rev	753457	111.6	7th_peak
AT1G03130	chr1	rev	753468	80.3	8th_peak
AT1G03130	chr1	rev	753478	627.9	4th_peak
AT1G03130	chr1	rev	753493	1114.1	2nd_peak
AT1G03130	chr1	rev	753508	121.3	6th_peak
AT1G03130	chr1	rev	753524	10.2	13th_peak
AT1G03140	chr1	rev	754377	160.8	1st_peak
AT1G03140	chr1	rev	754385	87.7	2nd_peak
AT1G03150	chr1	fwd	758581	13.3	3rd_peak
AT1G03150	chr1	fwd	758588	13	4th_peak
AT1G03150	chr1	fwd	758592	16.3	2nd_peak
AT1G03150	chr1	fwd	758610	35.9	1st_peak
AT1G03160	chr1	fwd	766153	201.6	1st_peak
AT1G03190	chr1	fwd	780009	15.9	1st_peak
AT1G03190	chr1	fwd	780030	10	2nd_peak
AT1G03210	chr1	fwd	784309	52	1st_peak
AT1G03220	chr1	fwd	788536	93.5	4th_peak
AT1G03220	chr1	fwd	788547	26.7	6th_peak
AT1G03220	chr1	fwd	788555	214.4	2nd_peak
AT1G03220	chr1	fwd	788566	17.8	9th_peak
AT1G03220	chr1	fwd	788576	13	10th_peak
AT1G03220	chr1	fwd	788586	35.1	5th_peak
AT1G03220	chr1	fwd	788597	257.1	1st_peak
AT1G03220	chr1	fwd	788604	21.6	7th_peak
AT1G03220	chr1	fwd	788612	137.8	3rd_peak
AT1G03220	chr1	fwd	788625	19.8	8th_peak
AT1G03230	chr1	fwd	791488	19	3rd_peak
AT1G03230	chr1	fwd	791493	11.2	4th_peak
AT1G03230	chr1	fwd	791524	49.9	1st_peak
AT1G03230	chr1	fwd	791533	22.8	2nd_peak
AT1G03250	chr1	rev	793353	183.4	1st_peak
AT1G03250	chr1	rev	793379	10.8	2nd_peak
AT1G03280	chr1	fwd	806922	17.7	3rd_peak
AT1G03280	chr1	fwd	806937	16.6	4th_peak
AT1G03280	chr1	fwd	807014	40.6	1st_peak
AT1G03280	chr1	fwd	807029	38	2nd_peak
AT1G03290	chr1	fwd	810814	21.3	1st_peak
AT1G03310	chr1	fwd	816693	66.9	1st_peak
AT1G03310	chr1	fwd	816706	20.3	2nd_peak
AT1G03330	chr1	rev	817981	19.5	3rd_peak
AT1G03330	chr1	rev	817985	15.4	4th_peak
AT1G03330	chr1	rev	818008	104.5	1st_peak
AT1G03330	chr1	rev	818018	58.7	2nd_peak
AT1G03350	chr1	rev	822639	87.7	1st_peak
AT1G03350	chr1	rev	822656	57.4	2nd_peak
AT1G03350	chr1	rev	822667	35.4	3rd_peak
AT1G03350	chr1	rev	822687	16.7	5th_peak
AT1G03350	chr1	rev	822707	21.6	4th_peak
AT1G03360	chr1	fwd	826284	12	3rd_peak
