region	coord	gene	Oxt PAT#
3UTR	570464	AT1G02650	1
intron	576253	AT1G02670	1
intron	576367	AT1G02670	1
3UTR	589343	AT1G02700	1
CDS	596137	AT1G02730	1
intron	596513	AT1G02730	1
CDS	608437	AT1G02780	381
3UTR	633328	AT1G02850	4
3UTR	653887	AT1G02900	14
CDS	684534	AT1G02990	31
CDS	685198	AT1G02990	11
CDS	690800	AT1G03000	6
3UTR	696362	AT1G03010	31
CDS	715220	AT1G03060	2
CDS	716065	AT1G03060	2
intron	715323	AT1G03060	1
3UTR	743893	AT1G03090	1
CDS	741986	AT1G03090	18
CDS	742046	AT1G03090	3
CDS	742537	AT1G03090	1
CDS	753783	AT1G03130	1
3UTR	766061	AT1G03160	3
CDS	762533	AT1G03160	1
3UTR	780097	AT1G03190	1
3UTR	793394	AT1G03250	98
CDS	809461	AT1G03290	1
intron	809215	AT1G03290	11
3UTR	810843	AT1G03300	1
CDS	812571	AT1G03300	1
3UTR	817937	AT1G03330	1
3UTR	822730	AT1G03350	5
CDS	823498	AT1G03350	1
3UTR	835261	AT1G03370	1
CDS	834698	AT1G03370	2
intron	843591	AT1G03400	1
3UTR	849393	AT1G03430	34
3UTR	865936	AT1G03470	2
CDS	866609	AT1G03470	1
3UTR	868937	AT1G03475	1
3UTR	874905	AT1G03495	1
3UTR	874959	AT1G03495	1
3UTR	876209	AT1G03510	1
3UTR	890198	AT1G03560	1
CDS	890514	AT1G03560	29
CDS	890548	AT1G03560	24
CDS	890614	AT1G03560	36
3UTR	894231	AT1G03590	1
3UTR	894419	AT1G03590	236
3UTR	902724	AT1G03610	2
3UTR	902821	AT1G03610	3
3UTR	916774	AT1G03680	1
CDS	921835	AT1G03700	1
3UTR	936908	AT1G03740	1
CDS	934839	AT1G03740	2
CDS	936046	AT1G03740	1
CDS	936423	AT1G03740	1
3UTR	947697	AT1G03780	1
3UTR	955950	AT1G03790	1
3UTR	967500	AT1G03840	1
3UTR	982402	AT1G03870	1
3UTR	988104	AT1G03880	1
CDS	997648	AT1G03910	6
CDS	997817	AT1G03910	1
intron	997279	AT1G03910	10
3UTR	1004343	AT1G03920	1
intron	1002142	AT1G03920	12
CDS	1008070	AT1G03930	2
3UTR	1009458	AT1G03940	3
CDS	1035503	AT1G04010	1
intron	1031579	AT1G04010	10
3UTR	1040083	AT1G04020	2
CDS	1039576	AT1G04020	1
3UTR	1042365	AT1G04040	10
3UTR	1042438	AT1G04040	4
3UTR	1045773	AT1G04050	2
CDS	1065217	AT1G04120	1
CDS	1066390	AT1G04120	1
CDS	1068865	AT1G04120	4
CDS	1098453	AT1G04170	1
CDS	1112538	AT1G04200	1
3UTR	1119649	AT1G04210	1
intron	1127150	AT1G04230	1
CDS	1144349	AT1G04280	2
3UTR	1148639	AT1G04300	1
CDS	1148949	AT1G04300	1
intron	1150964	AT1G04300	1
3UTR	1154816	AT1G04310	2
3UTR	1175714	AT1G04370	1
3UTR	1175751	AT1G04370	1
CDS	1186510	AT1G04400	1
CDS	1186874	AT1G04400	13
CDS	1190563	AT1G04410	2
3UTR	1201507	AT1G04430	1
intron	1216985	AT1G04480	16
3UTR	1233931	AT1G04520	1
3UTR	1246004	AT1G04560	1
CDS	1246942	AT1G04570	2
intron	1289679	AT1G04625	23
CDS	1301169	AT1G04660	13
CDS	1304244	AT1G04680	1
3UTR	1336429	AT1G04770	5
CDS	1346459	AT1G04790	1
CDS	1346540	AT1G04790	3
3UTR	1348420	AT1G04800	11
CDS	1348771	AT1G04800	388
CDS	1348841	AT1G04800	16
CDS	1353099	AT1G04810	1
3UTR	1356351	AT1G04820	1
3UTR	1365213	AT1G04850	2
CDS	1366839	AT1G04850	1
3UTR	1373215	AT1G04870	3
CDS	1374322	AT1G04870	15
3UTR	1387703	AT1G04900	1
CDS	1395335	AT1G04920	2
3UTR	1416552	AT1G04985	46
3UTR	1431331	AT1G05010	1
CDS	1432457	AT1G05010	1
3UTR	1435156	AT1G05020	1
3UTR	1435317	AT1G05020	2
3UTR	1471460	AT1G05120	2
CDS	1483973	AT1G05140	3
3UTR	1487414	AT1G05160	2
3UTR	1502438	AT1G05190	11
3UTR	1509115	AT1G05200	5
3UTR	1531489	AT1G05260	1
intron	1530071	AT1G05260	36
3UTR	1545227	AT1G05300	5
3UTR	1569292	AT1G05370	1
CDS	1578065	AT1G05380	3
3UTR	1582706	AT1G05385	3
3UTR	1601266	AT1G05460	14
3UTR	1607410	AT1G05470	2
3UTR	1645608	AT1G05560	1
3UTR	1673862	AT1G05600	1
3UTR	1673804	AT1G05610	1
3UTR	1681741	AT1G05620	1
3UTR	1687324	AT1G05640	2
3UTR	1697616	AT1G05670	1
3UTR	1703045	AT1G05680	1
3UTR	1747747	AT1G05805	1
intron	1745388	AT1G05805	1
intron	1745419	AT1G05805	1
3UTR	1753956	AT1G05820	1
3UTR	1766805	AT1G05850	27
CDS	1766863	AT1G05850	1
CDS	1766957	AT1G05850	3
3UTR	1786295	AT1G05894	5
3UTR	1796508	AT1G05910	2
3UTR	1804461	AT1G05950	3
3UTR	1808013	AT1G05960	3
3UTR	1808183	AT1G05960	1
3UTR	1820345	AT1G06000	1
CDS	1821667	AT1G06000	1
3UTR	1823887	AT1G06010	1
3UTR	1824056	AT1G06010	1
3UTR	1849643	AT1G06090	1
CDS	1853618	AT1G06110	1
3UTR	1868938	AT1G06150	1
3UTR	1894216	AT1G06200	2
3UTR	1904690	AT1G06220	1
CDS	1901052	AT1G06220	1
3UTR	1910692	AT1G06230	1
3UTR	1910888	AT1G06230	1
3UTR	1913219	AT1G06240	1
3UTR	1913259	AT1G06250	2
3UTR	1913310	AT1G06250	1
3UTR	1926119	AT1G06290	1
CDS	1923677	AT1G06290	1
3UTR	1946105	AT1G06380	3
3UTR	1950660	AT1G06390	33
3UTR	1950787	AT1G06390	3
3UTR	1950820	AT1G06390	2
3UTR	1951034	AT1G06400	5
CDS	1951157	AT1G06400	2
CDS	1951214	AT1G06400	1
CDS	1957607	AT1G06410	1
CDS	1960503	AT1G06430	1
CDS	1961043	AT1G06430	2
CDS	1961086	AT1G06430	2
CDS	1961910	AT1G06430	17
3UTR	1963410	AT1G06440	1
3UTR	1973921	AT1G06475	1
3UTR	1973955	AT1G06475	1
CDS	1990411	AT1G06500	4
CDS	2002170	AT1G06530	73
CDS	2011406	AT1G06560	1
3UTR	2011804	AT1G06570	1
intron	2012296	AT1G06570	1
3UTR	2016384	AT1G06590	1
CDS	2032831	AT1G06640	2
5UTR	2034203	AT1G06645	1
3UTR	2037262	AT1G06660	1
3UTR	2037291	AT1G06660	2
CDS	2047305	AT1G06670	14
3UTR	2049229	AT1G06680	7
3UTR	2049517	AT1G06690	1
3UTR	2052557	AT1G06700	5
CDS	2063424	AT1G06720	1
CDS	2063504	AT1G06720	1
3UTR	2076495	AT1G06750	3
3UTR	2076549	AT1G06760	12
3UTR	2076575	AT1G06760	10
3UTR	2076603	AT1G06760	1
3UTR	2092905	AT1G06820	19
3UTR	2093053	AT1G06820	48
3UTR	2106690	AT1G06850	3
3UTR	2111561	AT1G06890	18
CDS	2113081	AT1G06890	1
3UTR	2123730	AT1G06910	1
3UTR	2143056	AT1G06980	1
3UTR	2143152	AT1G06980	1
CDS	2161509	AT1G07040	1
3UTR	2164241	AT1G07050	10
3UTR	2172168	AT1G07080	1
3UTR	2174116	AT1G07090	1
3UTR	2178213	AT1G07110	1
CDS	2181402	AT1G07110	1
3UTR	2191844	AT1G07140	1
CDS	2206411	AT1G07180	1
CDS	2206516	AT1G07180	1
3UTR	2208974	AT1G07200	1
CDS	2209335	AT1G07200	1
3UTR	2216810	AT1G07210	5
3UTR	2220282	AT1G07230	1
CDS	2220594	AT1G07230	1
3UTR	2225357	AT1G07240	14
3UTR	2225499	AT1G07240	3
CDS	2239213	AT1G07280	3
CDS	2239283	AT1G07280	1
CDS	2239357	AT1G07280	1
CDS	2249653	AT1G07320	1
3UTR	2257391	AT1G07350	1
3UTR	2260332	AT1G07360	7
3UTR	2264536	AT1G07370	1
CDS	2266369	AT1G07380	1
3UTR	2275687	AT1G07400	16
3UTR	2277226	AT1G07410	3
3UTR	2280944	AT1G07430	1
3UTR	2281069	AT1G07430	3
CDS	2281341	AT1G07430	1
CDS	2287412	AT1G07440	9
CDS	2287445	AT1G07440	1
3UTR	2294616	AT1G07473	1
CDS	2308947	AT1G07510	1
3UTR	2309635	AT1G07520	3
3UTR	2309701	AT1G07520	1
CDS	2324786	AT1G07550	1
CDS	2336927	AT1G07590	1
3UTR	2342163	AT1G07615	2
CDS	2342472	AT1G07615	1
3UTR	2344471	AT1G07620	1
3UTR	2367446	AT1G07645	1
3UTR	2367489	AT1G07645	1
3UTR	2369660	AT1G07660	12
3UTR	2381329	AT1G07700	1
3UTR	2390535	AT1G07720	1
3UTR	2390627	AT1G07720	2
CDS	2399798	AT1G07740	1
CDS	2408700	AT1G07770	2
3UTR	2413794	AT1G07790	1
3UTR	2421104	AT1G07820	1
3UTR	2421247	AT1G07820	1
3UTR	2457205	AT1G07920	10
3UTR	2463162	AT1G07940	10
3UTR	2465889	AT1G07950	1
intron	2481440	AT1G07990	1
3UTR	2485680	AT1G08005	1
3UTR	2486040	AT1G08010	2
3UTR	2486165	AT1G08010	3
3UTR	2489451	AT1G08030	1
CDS	2569247	AT1G08190	1
intron	2586252	AT1G08230	7
CDS	2608876	AT1G08280	2
3UTR	2640763	AT1G08380	1
CDS	2641041	AT1G08380	1
3UTR	2656812	AT1G08420	3
3UTR	2656867	AT1G08420	7
3UTR	2657119	AT1G08420	1
3UTR	2667744	AT1G08450	1
CDS	2668706	AT1G08450	15
CDS	2669377	AT1G08450	1
intron	2673598	AT1G08460	14
3UTR	2689934	AT1G08500	1
CDS	2693336	AT1G08510	1
intron	2692627	AT1G08510	1
3UTR	2701058	AT1G08520	1
3UTR	2703015	AT1G08530	2
intron	2702514	AT1G08530	1
CDS	2706290	AT1G08540	4
3UTR	2714642	AT1G08570	1
3UTR	2722071	AT1G08590	1
3UTR	2722145	AT1G08590	1
3UTR	2733492	AT1G08600	2
CDS	2733111	AT1G08600	3
3UTR	2733718	AT1G08610	1
CDS	2738535	AT1G08620	1
CDS	2738568	AT1G08620	1
intron	2744995	AT1G08630	2
intron	2745212	AT1G08630	1
3UTR	2768537	AT1G08680	1
3UTR	2768702	AT1G08680	2
3UTR	2768733	AT1G08680	2
3UTR	2768946	AT1G08680	1
intron	2768189	AT1G08680	1
intron	2768242	AT1G08680	4
CDS	2769948	AT1G08700	2
3UTR	2819231	AT1G08810	109
3UTR	2847062	AT1G08880	1
3UTR	2852148	AT1G08890	3
intron	2851575	AT1G08890	1
3UTR	2860974	AT1G08910	1
3UTR	2877157	AT1G08930	15
CDS	2878022	AT1G08940	117
intron	2878195	AT1G08940	1
intron	2878425	AT1G08940	1
CDS	2885519	AT1G08980	1
3UTR	2900008	AT1G09020	1
CDS	2922961	AT1G09060	1
3UTR	2928775	AT1G09070	2
CDS	2927920	AT1G09070	3
3UTR	2936594	AT1G09100	1
intron	2944993	AT1G09140	1
3UTR	2949041	AT1G09150	1
CDS	2966291	AT1G09190	1
3UTR	2968003	AT1G09195	5
3UTR	2977848	AT1G09220	1
3UTR	2977895	AT1G09220	2
3UTR	2990217	AT1G09250	1
3UTR	2998035	AT1G09270	1
3UTR	2998128	AT1G09280	1
3UTR	3001516	AT1G09290	2
3UTR	3008142	AT1G09300	1
CDS	3006230	AT1G09300	2
3UTR	3009681	AT1G09310	18
3UTR	3010067	AT1G09320	1
CDS	3017509	AT1G09340	2
3UTR	3033482	AT1G09390	1
3UTR	3033577	AT1G09400	1
3UTR	3045398	AT1G09440	62
3UTR	3065934	AT1G09490	2
intron	3065634	AT1G09490	1
CDS	3087387	AT1G09540	1
CDS	3096230	AT1G09570	1
CDS	3096633	AT1G09570	1
intron	3100145	AT1G09570	2
3UTR	3112795	AT1G09620	1
3UTR	3127279	AT1G09650	1
3UTR	3127715	AT1G09660	1
intron	3128846	AT1G09660	1
CDS	3136548	AT1G09690	1
CDS	3136578	AT1G09690	8
CDS	3158922	AT1G09750	1
CDS	3162665	AT1G09770	1
CDS	3162755	AT1G09770	2
CDS	3163741	AT1G09770	14
3UTR	3177002	AT1G09800	1
3UTR	3204019	AT1G09850	1
CDS	3203364	AT1G09850	1
3UTR	3220129	AT1G09910	2
CDS	3220591	AT1G09910	1
3UTR	3262219	AT1G09995	13
3UTR	3286856	AT1G10060	2
CDS	3285805	AT1G10060	1
CDS	3292210	AT1G10090	1
CDS	3334114	AT1G10170	1
CDS	3338742	AT1G10180	1
3UTR	3356180	AT1G10230	1
CDS	3356055	AT1G10230	1
3UTR	3356828	AT1G10240	1
3UTR	3366320	AT1G10270	1
CDS	3384735	AT1G10320	1
CDS	3388247	AT1G10320	15
3UTR	3390351	AT1G10340	1
3UTR	3393523	AT1G10350	1
3UTR	3395616	AT1G10360	43
3UTR	3405931	AT1G10385	1
3UTR	3406993	AT1G10390	1
3UTR	3450939	AT1G10480	5
3UTR	3465782	AT1G10510	1
3UTR	3486776	AT1G10560	1
3UTR	3486910	AT1G10560	1
CDS	3492975	AT1G10580	1
intron	3502546	AT1G10590	1
3UTR	3508825	AT1G10610	1
3UTR	3513050	AT1G10630	2
3UTR	3524112	AT1G10650	1
3UTR	3534799	AT1G10660	2
3UTR	3535224	AT1G10660	2
CDS	3533250	AT1G10660	1
3UTR	3574871	AT1G10750	21
3UTR	3574926	AT1G10750	10
3UTR	3580915	AT1G10760	4
3UTR	3616667	AT1G10870	1
3UTR	3616724	AT1G10870	1
3UTR	3630692	AT1G10890	1
CDS	3645848	AT1G10920	1
CDS	3646259	AT1G10920	1
CDS	3656689	AT1G10940	1
3UTR	3665140	AT1G10970	1
3UTR	3665195	AT1G10970	1
3UTR	3671899	AT1G11000	1
3UTR	3689804	AT1G11060	1
3UTR	3694710	AT1G11080	5
3UTR	3694833	AT1G11080	16
3UTR	3727437	AT1G11130	11
3UTR	3744631	AT1G11170	1
CDS	3751613	AT1G11190	23
3UTR	3759953	AT1G11220	1
CDS	3779204	AT1G11260	17
CDS	3779252	AT1G11260	5
CDS	3779540	AT1G11260	1
CDS	3787888	AT1G11280	1
CDS	3803759	AT1G11310	1
3UTR	3813498	AT1G11330	4
3UTR	3813987	AT1G11340	1
3UTR	3821628	AT1G11360	1
3UTR	3827794	AT1G11370	2
CDS	3838825	AT1G11400	13
3UTR	3844476	AT1G11410	3
3UTR	3849184	AT1G11430	1
3UTR	3864019	AT1G11475	1
CDS	3889170	AT1G11580	2
CDS	3889751	AT1G11580	2
3UTR	3928082	AT1G11670	1
3UTR	3940692	AT1G11680	1
CDS	3940087	AT1G11680	1
3UTR	3951147	AT1G11710	1
3UTR	3956924	AT1G11720	3
intron	3956065	AT1G11720	1
3UTR	3963160	AT1G11740	1
CDS	3969078	AT1G11750	2
3UTR	3972044	AT1G11760	4
3UTR	3985327	AT1G11800	1
3UTR	3991109	AT1G11820	37
CDS	3997120	AT1G11840	2
3UTR	3999778	AT1G11850	1
CDS	4001909	AT1G11860	1
CDS	4002038	AT1G11860	1
CDS	4028884	AT1G11930	2
3UTR	4034477	AT1G11950	3
3UTR	4034549	AT1G11950	1
CDS	4038086	AT1G11950	14
5UTR	4053805	AT1G12000	14
3UTR	4057789	AT1G12010	1
CDS	4064864	AT1G12030	1
CDS	4065230	AT1G12030	1
3UTR	4072575	AT1G12040	1
3UTR	4072637	AT1G12040	1
3UTR	4076069	AT1G12050	2
3UTR	4076210	AT1G12050	5
intron	4075871	AT1G12050	1
3UTR	4078726	AT1G12070	1
3UTR	4085076	AT1G12080	9
3UTR	4089789	AT1G12090	1
3UTR	4090062	AT1G12090	1
CDS	4108739	AT1G12110	2
intron	4106763	AT1G12110	2
intron	4106856	AT1G12110	2
CDS	4114946	AT1G12120	1
3UTR	4123422	AT1G12140	1
3UTR	4139866	AT1G12200	1
3UTR	4139946	AT1G12200	1
CDS	4138875	AT1G12200	1
CDS	4155286	AT1G12240	1
CDS	4155333	AT1G12240	2
CDS	4156020	AT1G12240	1
CDS	4156074	AT1G12240	1
CDS	4157783	AT1G12244	1
3UTR	4178408	AT1G12290	1
3UTR	4178476	AT1G12290	12
3UTR	4196647	AT1G12330	1
3UTR	4241771	AT1G12440	36
3UTR	4257228	AT1G12470	1
CDS	4256691	AT1G12470	1
CDS	4257166	AT1G12470	1
3UTR	4257389	AT1G12480	3
3UTR	4263219	AT1G12500	4
3UTR	4278007	AT1G12560	1
3UTR	4278054	AT1G12570	8
3UTR	4278103	AT1G12570	1
intron	4288634	AT1G12600	11
3UTR	4299593	AT1G12630	2
3UTR	4299750	AT1G12630	1
CDS	4320209	AT1G12680	1
3UTR	4353585	AT1G12770	3
3UTR	4355884	AT1G12780	1
3UTR	4356087	AT1G12780	7
3UTR	4361524	AT1G12800	2
3UTR	4361683	AT1G12800	3
CDS	4361950	AT1G12800	4
CDS	4367713	AT1G12810	1
intron	4368259	AT1G12810	1
3UTR	4374298	AT1G12830	1
CDS	4374764	AT1G12830	474
CDS	4390943	AT1G12880	45
CDS	4392126	AT1G12890	1
3UTR	4396548	AT1G12920	2
CDS	4434922	AT1G12990	1
3UTR	4436062	AT1G13000	1
3UTR	4440691	AT1G13020	1
intron	4442234	AT1G13020	28
3UTR	4451605	AT1G13050	1
3UTR	4451765	AT1G13050	2
3UTR	4463662	AT1G13090	1
3UTR	4469169	AT1G13120	1
3UTR	4469282	AT1G13120	1
CDS	4471391	AT1G13120	1
CDS	4471427	AT1G13120	36
CDS	4471561	AT1G13120	2
CDS	4490507	AT1G13170	2
3UTR	4498405	AT1G13180	2
3UTR	4501649	AT1G13190	2
CDS	4500616	AT1G13190	1
CDS	4542722	AT1G13260	1
CDS	4542809	AT1G13260	7
3UTR	4548894	AT1G13280	3
3UTR	4558655	AT1G13300	1
CDS	4557823	AT1G13300	1
intron	4557578	AT1G13300	1
CDS	4575165	AT1G13350	1
CDS	4575199	AT1G13350	1
3UTR	4612635	AT1G13450	1
CDS	4678952	AT1G13640	2
3UTR	4688905	AT1G13670	1
3UTR	4694450	AT1G13700	2
CDS	4694489	AT1G13700	1
3UTR	4715230	AT1G13740	1
CDS	4714860	AT1G13740	301
CDS	4725299	AT1G13780	1
3UTR	4753089	AT1G13900	2
3UTR	4753421	AT1G13900	1
3UTR	4761613	AT1G13930	3
3UTR	4762558	AT1G13940	1
3UTR	4762632	AT1G13940	1
3UTR	4796534	AT1G13990	1
3UTR	4805307	AT1G14030	1
CDS	4838306	AT1G14140	1
3UTR	4854271	AT1G14200	2
CDS	4857602	AT1G14210	1
CDS	4857730	AT1G14210	30
CDS	4876364	AT1G14270	1
3UTR	4882475	AT1G14300	1
3UTR	4886725	AT1G14310	2
CDS	4891577	AT1G14330	1
3UTR	4918114	AT1G14380	2
3UTR	4926942	AT1G14390	1
3UTR	4937077	AT1G14430	21
CDS	4936215	AT1G14430	4
3UTR	4948821	AT1G14460	3
CDS	4957673	AT1G14480	2
CDS	4957781	AT1G14480	1
3UTR	4958426	AT1G14490	1
3UTR	4983196	AT1G14560	2
CDS	5002320	AT1G14600	1
3UTR	5008314	AT1G14610	1
CDS	5008820	AT1G14610	1
3UTR	5021621	AT1G14630	4
3UTR	5032019	AT1G14660	2
3UTR	5040425	AT1G14670	1
3UTR	5044138	AT1G14685	2
3UTR	5048612	AT1G14687	1
3UTR	5061167	AT1G14700	2
intron	5060708	AT1G14700	4
intron	5060748	AT1G14700	5
3UTR	5066768	AT1G14720	11
CDS	5077292	AT1G14740	1
3UTR	5086685	AT1G14770	1
CDS	5095564	AT1G14790	27
3UTR	5102637	AT1G14810	1
3UTR	5112085	AT1G14840	2
3UTR	5112121	AT1G14840	1
3UTR	5126105	AT1G14860	9
3UTR	5138584	AT1G14900	1
3UTR	5139785	AT1G14910	1
3UTR	5151407	AT1G14920	4
3UTR	5157380	AT1G14950	5
3UTR	5167293	AT1G14990	1
3UTR	5180016	AT1G15030	10
intron	5178842	AT1G15030	2
intron	5178965	AT1G15030	4
3UTR	5180027	AT1G15040	1
3UTR	5181962	AT1G15050	7
3UTR	5193484	AT1G15100	13
3UTR	5205932	AT1G15125	1
3UTR	5206152	AT1G15125	1
CDS	5205687	AT1G15125	11
3UTR	5206157	AT1G15130	1
3UTR	5228279	AT1G15200	3
CDS	5228640	AT1G15200	8
3UTR	5250477	AT1G15260	2
3UTR	5250606	AT1G15270	1
3UTR	5256623	AT1G15280	1
CDS	5296726	AT1G15400	1
3UTR	5300748	AT1G15410	1
3UTR	5300892	AT1G15410	1
3UTR	5301013	AT1G15410	1
3UTR	5300796	AT1G15415	1
3UTR	5300899	AT1G15415	1
intron	5312946	AT1G15460	11
3UTR	5317782	AT1G15470	31
CDS	5382870	AT1G15660	1
3UTR	5391307	AT1G15670	1
3UTR	5402284	AT1G15690	1
3UTR	5407498	AT1G15730	1
3UTR	5415005	AT1G15750	1
CDS	5431859	AT1G15780	1
3UTR	5441182	AT1G15800	1
3UTR	5441382	AT1G15800	1
intron	5442932	AT1G15800	1
intron	5445504	AT1G15810	1
3UTR	5458306	AT1G15870	1
3UTR	5458331	AT1G15870	1
3UTR	5478182	AT1G15940	1
3UTR	5478233	AT1G15940	1
3UTR	5486448	AT1G15970	1
3UTR	5495272	AT1G16000	48
3UTR	5501080	AT1G16020	1
3UTR	5511806	AT1G16060	1
CDS	5515462	AT1G16080	10
3UTR	5520830	AT1G16110	1
CDS	5519904	AT1G16110	2
3UTR	5538786	AT1G16170	64
3UTR	5546259	AT1G16210	1
intron	5574925	AT1G16300	1
3UTR	5587871	AT1G16340	1
3UTR	5587961	AT1G16340	1
CDS	5625283	AT1G16470	1
3UTR	5640234	AT1G16500	1
3UTR	5651092	AT1G16520	2
3UTR	5682056	AT1G16630	3
3UTR	5705799	AT1G16680	1
CDS	5710906	AT1G16700	11
3UTR	5722321	AT1G16710	1
3UTR	5726249	AT1G16730	1
3UTR	5726290	AT1G16730	3
CDS	5748273	AT1G16800	1
3UTR	5756761	AT1G16810	1
3UTR	5770788	AT1G16870	2
3UTR	5787225	AT1G16920	3
intron	5788810	AT1G16920	1
3UTR	5800739	AT1G16960	1
3UTR	5800899	AT1G16960	1
3UTR	5845651	AT1G17100	5
CDS	5856757	AT1G17140	11
3UTR	5873041	AT1G17180	1
CDS	5881186	AT1G17210	3
3UTR	5890503	AT1G17220	1
CDS	5886538	AT1G17220	1
CDS	5888905	AT1G17220	1
3UTR	5916830	AT1G17280	1
CDS	5948430	AT1G17360	1
intron	5953987	AT1G17370	1
5UTR	5977476	AT1G17420	1
3UTR	5988336	AT1G17450	1
CDS	6021040	AT1G17500	1
3UTR	6023419	AT1G17510	1
3UTR	6023634	AT1G17510	54
CDS	6023831	AT1G17510	15
3UTR	6037185	AT1G17550	1
3UTR	6037331	AT1G17550	1
3UTR	6049601	AT1G17580	1
3UTR	6063215	AT1G17620	1
3UTR	6063273	AT1G17620	1
3UTR	6067170	AT1G17640	2
3UTR	6067310	AT1G17640	1
CDS	6088090	AT1G17690	1
3UTR	6090603	AT1G17710	1
3UTR	6090683	AT1G17710	1
3UTR	6093457	AT1G17720	1
3UTR	6093861	AT1G17720	1
3UTR	6093888	AT1G17720	1
3UTR	6100266	AT1G17730	1
CDS	6103676	AT1G17745	1
intron	6101777	AT1G17745	2
intron	6101831	AT1G17745	5
intron	6102003	AT1G17745	1
intron	6113123	AT1G17760	1
3UTR	6131547	AT1G17810	1
3UTR	6131584	AT1G17810	1
3UTR	6131619	AT1G17820	1
3UTR	6179182	AT1G17950	1
CDS	6187894	AT1G17980	2
CDS	6188505	AT1G17980	1
3UTR	6206926	AT1G18040	1
3UTR	6206992	AT1G18040	2
CDS	6212203	AT1G18060	1
CDS	6251438	AT1G18160	1
CDS	6251468	AT1G18160	1
CDS	6253787	AT1G18160	1
CDS	6279499	AT1G18260	1
3UTR	6282247	AT1G18265	1
3UTR	6283583	AT1G18270	1
intron	6300086	AT1G18300	41
CDS	6317386	AT1G18360	1
3UTR	6319665	AT1G18370	1
3UTR	6333656	AT1G18400	1
3UTR	6333809	AT1G18400	1
3UTR	6347917	AT1G18440	1
3UTR	6362916	AT1G18480	1
CDS	6377789	AT1G18540	1
3UTR	6398328	AT1G18580	1
CDS	6416525	AT1G18640	1
3UTR	6426958	AT1G18670	1
3UTR	6453056	AT1G18710	1
CDS	6458050	AT1G18720	19
intron	6461248	AT1G18730	1
3UTR	6481196	AT1G18800	3
3UTR	6481352	AT1G18800	15
CDS	6501293	AT1G18840	1
3UTR	6532662	AT1G18900	1
3UTR	6560728	AT1G19000	1
intron	6597579	AT1G19100	1
CDS	6605276	AT1G19110	1
3UTR	6613899	AT1G19150	1
3UTR	6618992	AT1G19170	1
3UTR	6649396	AT1G19230	1
CDS	6666836	AT1G19290	1
CDS	6666861	AT1G19290	1
3UTR	6671406	AT1G19300	3
3UTR	6676356	AT1G19310	14
3UTR	6680563	AT1G19330	331
intron	6710054	AT1G19394	14
intron	6710140	AT1G19394	1
3UTR	6711739	AT1G19397	2
3UTR	6711895	AT1G19397	1
intron	6711530	AT1G19397	3
intron	6711576	AT1G19397	2
3UTR	6712133	AT1G19400	1
3UTR	6730935	AT1G19440	1
3UTR	6751472	AT1G19485	1
3UTR	6764871	AT1G19530	3
CDS	6764669	AT1G19530	1
CDS	6800372	AT1G19660	39
3UTR	6807720	AT1G19680	2
3UTR	6807777	AT1G19680	141
3UTR	6807653	AT1G19690	1
3UTR	6807909	AT1G19690	1
3UTR	6816859	AT1G19715	2
3UTR	6816932	AT1G19715	2
CDS	6833275	AT1G19770	1
CDS	6833619	AT1G19770	10
CDS	6856382	AT1G19835	1
CDS	6858592	AT1G19835	4
