region	coord	gene	WT PAT#
3UTR	458144	AT1G02305	4
3UTR	458234	AT1G02305	1
3UTR	458050	AT1G02310	3
3UTR	458101	AT1G02310	2
3UTR	458139	AT1G02310	1
3UTR	462015	AT1G02330	1
3UTR	462052	AT1G02330	6
3UTR	463901	AT1G02335	4
3UTR	465667	AT1G02340	13
3UTR	465723	AT1G02340	12
3UTR	465767	AT1G02340	4
CDS	467042	AT1G02340	1
CDS	467361	AT1G02340	1
3UTR	470880	AT1G02350	11
3UTR	472061	AT1G02360	1
3UTR	476471	AT1G02370	3
3UTR	476540	AT1G02370	1
3UTR	476576	AT1G02370	1
3UTR	476610	AT1G02370	2
3UTR	489416	AT1G02400	7
3UTR	489474	AT1G02400	18
intron	487469	AT1G02400	1
intron	487516	AT1G02400	3
intron	487819	AT1G02400	5
intron	488558	AT1G02400	1
intron	488630	AT1G02400	1
intron	489139	AT1G02400	1
3UTR	489955	AT1G02405	1
3UTR	492924	AT1G02410	9
3UTR	497919	AT1G02450	1
3UTR	497972	AT1G02450	3
CDS	498143	AT1G02450	2
3UTR	504676	AT1G02460	1
CDS	505127	AT1G02460	1
3UTR	513837	AT1G02475	20
3UTR	520277	AT1G02500	1
3UTR	520409	AT1G02500	1
3UTR	520497	AT1G02500	2
3UTR	528924	AT1G02520	1
3UTR	544005	AT1G02570	1
intron	542238	AT1G02570	7
3UTR	553086	AT1G02610	1
3UTR	570502	AT1G02650	1
3UTR	570532	AT1G02650	1
3UTR	571855	AT1G02660	6
3UTR	571966	AT1G02660	16
CDS	572430	AT1G02660	1
CDS	572855	AT1G02660	2
CDS	573620	AT1G02660	1
3UTR	582075	AT1G02680	16
3UTR	582156	AT1G02680	2
3UTR	587303	AT1G02690	1
3UTR	589458	AT1G02700	1
3UTR	599540	AT1G02740	1
3UTR	604225	AT1G02750	1
CDS	608517	AT1G02780	1
3UTR	620353	AT1G02810	1
3UTR	620432	AT1G02810	14
3UTR	620481	AT1G02810	3
3UTR	620516	AT1G02810	10
3UTR	622359	AT1G02816	1
3UTR	622460	AT1G02816	2
3UTR	622562	AT1G02816	1
3UTR	623778	AT1G02820	2
3UTR	629853	AT1G02840	1
3UTR	633226	AT1G02850	3
3UTR	637152	AT1G02860	4
3UTR	637261	AT1G02860	20
3UTR	637232	AT1G02870	1
3UTR	642908	AT1G02880	1
3UTR	645099	AT1G02890	2
3UTR	645157	AT1G02890	1
CDS	646214	AT1G02890	1
3UTR	658777	AT1G02920	5
3UTR	661266	AT1G02930	16
3UTR	663004	AT1G02940	1
3UTR	665139	AT1G02950	11
3UTR	665186	AT1G02950	2
3UTR	666870	AT1G02960	4
3UTR	666910	AT1G02960	3
3UTR	681456	AT1G02990	1
3UTR	687820	AT1G03000	1
3UTR	703637	AT1G03030	1
3UTR	703809	AT1G03030	5
CDS	723590	AT1G03060	1
intron	714882	AT1G03060	1
3UTR	731544	AT1G03070	7
CDS	732228	AT1G03080	2
3UTR	744077	AT1G03090	1
intron	741274	AT1G03090	1
3UTR	743982	AT1G03100	1
3UTR	748061	AT1G03106	1
3UTR	748107	AT1G03106	1
3UTR	754271	AT1G03140	1
CDS	755695	AT1G03140	1
3UTR	758600	AT1G03150	1
CDS	758389	AT1G03150	1
intron	762864	AT1G03160	1
CDS	779811	AT1G03190	1
3UTR	784312	AT1G03210	25
3UTR	791593	AT1G03230	8
3UTR	791675	AT1G03230	1
CDS	801748	AT1G03270	1
3UTR	806939	AT1G03280	3
3UTR	816695	AT1G03310	1
3UTR	818079	AT1G03330	1
3UTR	821380	AT1G03340	2
3UTR	826414	AT1G03360	1
3UTR	835225	AT1G03370	1
3UTR	835288	AT1G03370	1
3UTR	840580	AT1G03380	1
3UTR	840952	AT1G03380	3
intron	836466	AT1G03380	1
3UTR	844521	AT1G03410	1
3UTR	844586	AT1G03410	1
intron	848640	AT1G03430	3
3UTR	860776	AT1G03457	28
CDS	866543	AT1G03470	1
3UTR	880534	AT1G03530	2
3UTR	885805	AT1G03550	1
intron	886548	AT1G03550	1
CDS	890936	AT1G03560	1
CDS	891032	AT1G03560	1
3UTR	899545	AT1G03600	1
3UTR	903034	AT1G03610	6
3UTR	904028	AT1G03620	2
3UTR	904102	AT1G03620	1
CDS	905311	AT1G03620	1
3UTR	910216	AT1G03650	1
3UTR	911339	AT1G03660	3
3UTR	911378	AT1G03660	8
3UTR	920595	AT1G03687	1
3UTR	921927	AT1G03700	2
3UTR	921998	AT1G03700	3
3UTR	930900	AT1G03730	1
CDS	934588	AT1G03740	1
CDS	946046	AT1G03770	1
3UTR	947601	AT1G03780	1
3UTR	956033	AT1G03790	1
3UTR	956077	AT1G03790	1
3UTR	982429	AT1G03870	1
3UTR	982479	AT1G03870	1
3UTR	993113	AT1G03900	4
3UTR	993230	AT1G03900	17
CDS	991649	AT1G03900	1
intron	992022	AT1G03900	1
3UTR	995777	AT1G03905	1
3UTR	1000437	AT1G03910	6
CDS	997193	AT1G03910	1
CDS	997253	AT1G03910	1
CDS	999609	AT1G03910	1
3UTR	1017759	AT1G03960	1
3UTR	1017913	AT1G03960	1
3UTR	1019262	AT1G03970	1
3UTR	1028142	AT1G04000	9
3UTR	1031165	AT1G04010	1
intron	1033714	AT1G04010	1
3UTR	1040233	AT1G04020	1
CDS	1038893	AT1G04020	1
CDS	1039367	AT1G04020	1
intron	1042491	AT1G04030	1
intron	1043261	AT1G04040	2
3UTR	1045718	AT1G04050	1
intron	1048632	AT1G04050	1
3UTR	1056641	AT1G04080	1
3UTR	1056780	AT1G04080	25
3UTR	1061297	AT1G04110	5
CDS	1062560	AT1G04110	1
3UTR	1064486	AT1G04120	2
3UTR	1064565	AT1G04120	6
3UTR	1064608	AT1G04120	1
3UTR	1075407	AT1G04130	1
3UTR	1075488	AT1G04130	1
3UTR	1075662	AT1G04140	1
CDS	1079307	AT1G04140	1
3UTR	1081003	AT1G04150	1
CDS	1113564	AT1G04200	3
intron	1109930	AT1G04200	1
3UTR	1119654	AT1G04220	3
3UTR	1119701	AT1G04220	5
3UTR	1128194	AT1G04230	1
3UTR	1128188	AT1G04240	17
3UTR	1128325	AT1G04240	4
3UTR	1138451	AT1G04250	1
3UTR	1154766	AT1G04310	2
3UTR	1154854	AT1G04310	1
CDS	1155591	AT1G04310	1
3UTR	1167414	AT1G04360	2
CDS	1185870	AT1G04400	1
3UTR	1189014	AT1G04410	1
3UTR	1205789	AT1G04440	1
3UTR	1205908	AT1G04440	2
3UTR	1208066	AT1G04445	1
3UTR	1217533	AT1G04480	1
3UTR	1217926	AT1G04490	3
3UTR	1230842	AT1G04510	2
3UTR	1242108	AT1G04550	6
3UTR	1242139	AT1G04550	1
3UTR	1244112	AT1G04555	3
3UTR	1244154	AT1G04555	1
intron	1289173	AT1G04625	16
3UTR	1293272	AT1G04640	11
CDS	1295240	AT1G04650	1
3UTR	1300393	AT1G04660	7
5UTR	1301748	AT1G04660	13
3UTR	1303813	AT1G04680	1
3UTR	1303954	AT1G04680	12
intron	1306532	AT1G04680	1
3UTR	1315588	AT1G04690	1
3UTR	1315614	AT1G04690	3
3UTR	1325109	AT1G04730	1
3UTR	1336247	AT1G04760	1
3UTR	1336301	AT1G04760	1
3UTR	1336343	AT1G04760	1
3UTR	1336386	AT1G04770	1
3UTR	1340602	AT1G04780	1
3UTR	1340646	AT1G04780	3
CDS	1340960	AT1G04780	20
3UTR	1348457	AT1G04790	1
3UTR	1356112	AT1G04820	1
3UTR	1356158	AT1G04820	7
3UTR	1358901	AT1G04830	6
3UTR	1359069	AT1G04830	5
3UTR	1365118	AT1G04850	11
3UTR	1365156	AT1G04850	2
3UTR	1369062	AT1G04860	4
CDS	1372042	AT1G04860	1
3UTR	1373396	AT1G04870	1
3UTR	1387806	AT1G04900	1
3UTR	1387896	AT1G04900	5
3UTR	1387927	AT1G04910	2
3UTR	1396291	AT1G04930	1
3UTR	1402925	AT1G04945	3
3UTR	1402997	AT1G04945	1
3UTR	1413588	AT1G04970	2
3UTR	1413623	AT1G04970	5
3UTR	1428532	AT1G05000	1
3UTR	1428783	AT1G05000	16
3UTR	1431189	AT1G05010	1
3UTR	1435236	AT1G05020	1
3UTR	1438118	AT1G05030	1
3UTR	1448699	AT1G05055	4
3UTR	1448791	AT1G05055	5
3UTR	1454655	AT1G05065	1
3UTR	1471415	AT1G05120	1
3UTR	1484082	AT1G05140	5
3UTR	1484100	AT1G05150	10
3UTR	1484152	AT1G05150	1
CDS	1486214	AT1G05150	2
5UTR	1489887	AT1G05160	2
3UTR	1498206	AT1G05180	9
3UTR	1509151	AT1G05200	4
CDS	1506728	AT1G05200	1
CDS	1506817	AT1G05200	1
CDS	1506872	AT1G05200	1
3UTR	1511633	AT1G05210	4
3UTR	1511664	AT1G05210	7
3UTR	1557671	AT1G05320	1
3UTR	1558958	AT1G05340	1
intron	1579930	AT1G05380	1
3UTR	1582568	AT1G05385	2
3UTR	1582639	AT1G05385	1
3UTR	1585516	AT1G05400	1
3UTR	1585333	AT1G05410	1
CDS	1585829	AT1G05410	1
3UTR	1590868	AT1G05420	4
3UTR	1591012	AT1G05420	2
3UTR	1596119	AT1G05440	1
3UTR	1596202	AT1G05440	1
3UTR	1601209	AT1G05450	4
3UTR	1601157	AT1G05460	1
3UTR	1601191	AT1G05460	4
3UTR	1607266	AT1G05470	3
3UTR	1629116	AT1G05500	6
3UTR	1630810	AT1G05520	6
CDS	1633404	AT1G05520	3
3UTR	1636274	AT1G05530	1
3UTR	1641079	AT1G05550	1
3UTR	1647598	AT1G05570	1
3UTR	1647645	AT1G05570	11
3UTR	1647675	AT1G05570	5
intron	1658424	AT1G05570	1
3UTR	1661596	AT1G05575	1
3UTR	1662391	AT1G05577	1
3UTR	1673767	AT1G05610	1
3UTR	1681706	AT1G05620	10
CDS	1687117	AT1G05630	1
3UTR	1697541	AT1G05670	8
3UTR	1697586	AT1G05670	1
CDS	1702177	AT1G05670	1
intron	1701191	AT1G05670	2
intron	1701219	AT1G05670	1
3UTR	1709378	AT1G05690	2
3UTR	1713347	AT1G05700	1
3UTR	1717179	AT1G05710	11
3UTR	1717254	AT1G05710	3
3UTR	1721354	AT1G05740	10
3UTR	1723449	AT1G05750	1
3UTR	1723518	AT1G05750	1
3UTR	1723751	AT1G05750	2
3UTR	1724548	AT1G05750	1
3UTR	1723713	AT1G05760	5
CDS	1724360	AT1G05760	1
3UTR	1725389	AT1G05770	4
intron	1727052	AT1G05780	1
3UTR	1737470	AT1G05790	4
3UTR	1737497	AT1G05790	1
3UTR	1742762	AT1G05800	2
intron	1745468	AT1G05805	1
intron	1755919	AT1G05830	1
intron	1759500	AT1G05830	1
intron	1759540	AT1G05830	1
3UTR	1762741	AT1G05835	5
intron	1770658	AT1G05860	1
CDS	1791813	AT1G05910	3
3UTR	1804404	AT1G05950	1
intron	1810314	AT1G05960	1
3UTR	1816061	AT1G05970	18
3UTR	1820414	AT1G06000	1
3UTR	1823848	AT1G06010	1
3UTR	1830604	AT1G06050	2
3UTR	1834855	AT1G06060	6
3UTR	1834974	AT1G06070	5
3UTR	1853057	AT1G06110	7
3UTR	1857698	AT1G06120	1
3UTR	1857947	AT1G06130	2
intron	1859136	AT1G06130	1
3UTR	1862822	AT1G06135	1
3UTR	1863260	AT1G06137	1
3UTR	1863296	AT1G06137	2
3UTR	1867084	AT1G06145	3
3UTR	1868986	AT1G06150	4
CDS	1883731	AT1G06160	1
3UTR	1891273	AT1G06180	1
CDS	1895845	AT1G06200	1
intron	1895981	AT1G06200	155
3UTR	1899119	AT1G06210	3
3UTR	1899148	AT1G06210	2
3UTR	1899207	AT1G06210	9
3UTR	1899240	AT1G06210	1
3UTR	1910848	AT1G06230	3
CDS	1907689	AT1G06230	1
3UTR	1913263	AT1G06240	1
3UTR	1930361	AT1G06310	1
3UTR	1939082	AT1G06360	1
3UTR	1946049	AT1G06380	1
intron	1952113	AT1G06400	1
3UTR	1958653	AT1G06410	1
3UTR	1958811	AT1G06410	6
3UTR	1963331	AT1G06440	1
3UTR	1967141	AT1G06450	1
3UTR	1967296	AT1G06450	1
3UTR	1973593	AT1G06470	2
3UTR	1973657	AT1G06470	5
3UTR	1973724	AT1G06470	13
3UTR	1973757	AT1G06470	16
3UTR	1973840	AT1G06470	1
intron	1973325	AT1G06470	4
3UTR	1973862	AT1G06475	1
intron	1990054	AT1G06500	1
3UTR	1993738	AT1G06510	2
3UTR	1993841	AT1G06510	51
3UTR	2014018	AT1G06580	1
3UTR	2014054	AT1G06580	1
3UTR	2014119	AT1G06580	1
3UTR	2016254	AT1G06590	1
3UTR	2027176	AT1G06620	1
3UTR	2027229	AT1G06620	55
3UTR	2027284	AT1G06620	47
3UTR	2027353	AT1G06620	19
intron	2026288	AT1G06620	2
intron	2026827	AT1G06620	1
CDS	2032805	AT1G06640	1
3UTR	2035616	AT1G06645	1
3UTR	2035681	AT1G06645	9
CDS	2041154	AT1G06670	1
3UTR	2052663	AT1G06700	1
CDS	2063597	AT1G06720	1
3UTR	2076567	AT1G06750	1
intron	2073553	AT1G06750	3
3UTR	2076507	AT1G06760	12
3UTR	2078886	AT1G06770	8
3UTR	2078993	AT1G06770	2
3UTR	2089500	AT1G06790	3
3UTR	2091555	AT1G06810	1
CDS	2096095	AT1G06820	3
3UTR	2097646	AT1G06830	7
3UTR	2097711	AT1G06830	1
intron	2099718	AT1G06840	1
3UTR	2114945	AT1G06900	1
3UTR	2123800	AT1G06910	1
3UTR	2127570	AT1G06923	3
3UTR	2129791	AT1G06930	1
3UTR	2129826	AT1G06930	1
3UTR	2130080	AT1G06950	1
3UTR	2137705	AT1G06960	5
3UTR	2143184	AT1G06980	1
3UTR	2150190	AT1G07000	113
3UTR	2174028	AT1G07090	1
3UTR	2188622	AT1G07130	6
3UTR	2188734	AT1G07130	3
3UTR	2191809	AT1G07140	3
CDS	2192482	AT1G07140	1
CDS	2194399	AT1G07150	1
CDS	2194442	AT1G07150	7
3UTR	2198024	AT1G07160	2
3UTR	2198091	AT1G07160	1
3UTR	2201031	AT1G07170	2
CDS	2209205	AT1G07200	1
CDS	2209782	AT1G07200	1
3UTR	2216931	AT1G07220	11
3UTR	2217053	AT1G07220	2
intron	2217494	AT1G07220	1
CDS	2240800	AT1G07280	1
3UTR	2245650	AT1G07300	2
3UTR	2280162	AT1G07420	1
3UTR	2280213	AT1G07420	17
3UTR	2280388	AT1G07420	1
CDS	2282019	AT1G07430	1
3UTR	2287936	AT1G07450	1
intron	2293298	AT1G07470	3
3UTR	2301271	AT1G07490	1
3UTR	2301307	AT1G07490	1
3UTR	2304474	AT1G07500	1
3UTR	2304574	AT1G07500	1
CDS	2309879	AT1G07520	1
3UTR	2322579	AT1G07550	14
CDS	2324733	AT1G07550	1
3UTR	2331232	AT1G07560	7
3UTR	2331268	AT1G07560	1
3UTR	2331317	AT1G07560	1
CDS	2336957	AT1G07590	1
intron	2337947	AT1G07590	1
3UTR	2341971	AT1G07610	4
3UTR	2342003	AT1G07610	10
3UTR	2344419	AT1G07620	5
3UTR	2351626	AT1G07630	1
3UTR	2359741	AT1G07650	2
intron	2362379	AT1G07650	1
intron	2365839	AT1G07650	7
3UTR	2370176	AT1G07670	1
3UTR	2381269	AT1G07700	3
3UTR	2386036	AT1G07705	10
3UTR	2386072	AT1G07705	29
3UTR	2386119	AT1G07705	1
3UTR	2390654	AT1G07720	3
3UTR	2390705	AT1G07720	2
CDS	2391216	AT1G07720	22
intron	2398863	AT1G07740	1
3UTR	2400607	AT1G07745	4
CDS	2408468	AT1G07770	1
3UTR	2413567	AT1G07790	1
3UTR	2414848	AT1G07795	2
3UTR	2420637	AT1G07810	1
3UTR	2421218	AT1G07820	11
3UTR	2423734	AT1G07830	1
3UTR	2428792	AT1G07860	1
3UTR	2434135	AT1G07880	2
intron	2436507	AT1G07885	1
3UTR	2439714	AT1G07890	2
3UTR	2443752	AT1G07900	1
3UTR	2443703	AT1G07901	1
3UTR	2454515	AT1G07910	1
3UTR	2454595	AT1G07910	2
3UTR	2460529	AT1G07930	1
3UTR	2468942	AT1G07960	1
3UTR	2469287	AT1G07970	3
3UTR	2469353	AT1G07970	1
3UTR	2476020	AT1G07985	1
3UTR	2476144	AT1G07985	2
3UTR	2482975	AT1G07990	2
CDS	2482779	AT1G07990	1
3UTR	2495253	AT1G08035	1
3UTR	2495315	AT1G08035	2
CDS	2495831	AT1G08040	1
CDS	2496540	AT1G08040	3
3UTR	2498901	AT1G08050	6
3UTR	2526056	AT1G08090	1
3UTR	2539640	AT1G08125	9
3UTR	2561598	AT1G08165	2
3UTR	2561638	AT1G08165	1
3UTR	2564531	AT1G08180	8
3UTR	2573241	AT1G08190	2
3UTR	2573284	AT1G08190	2
3UTR	2573855	AT1G08200	7
3UTR	2573898	AT1G08200	15
intron	2576200	AT1G08200	2
CDS	2577235	AT1G08210	1
intron	2579231	AT1G08210	1
intron	2579320	AT1G08210	3
intron	2583117	AT1G08220	1
3UTR	2583600	AT1G08230	1
CDS	2583825	AT1G08230	1
intron	2584449	AT1G08230	2
intron	2585875	AT1G08230	1
intron	2586041	AT1G08230	2
intron	2586125	AT1G08230	15
3UTR	2606953	AT1G08260	2
3UTR	2607124	AT1G08260	1
intron	2593140	AT1G08260	1
3UTR	2609956	AT1G08290	1
3UTR	2609981	AT1G08290	8
intron	2612426	AT1G08290	1
intron	2618428	AT1G08300	1
intron	2618483	AT1G08300	1
intron	2618535	AT1G08300	1
3UTR	2620397	AT1G08310	3
3UTR	2620453	AT1G08310	3
3UTR	2620498	AT1G08310	1
3UTR	2620336	AT1G08315	4
3UTR	2621882	AT1G08320	7
3UTR	2621934	AT1G08320	9
3UTR	2632816	AT1G08350	8
3UTR	2632847	AT1G08350	17
3UTR	2632938	AT1G08350	1
3UTR	2640977	AT1G08380	1
3UTR	2643320	AT1G08390	1
3UTR	2643218	AT1G08400	1
3UTR	2649463	AT1G08410	2
intron	2653323	AT1G08420	1
3UTR	2661215	AT1G08430	31
CDS	2660644	AT1G08430	1
CDS	2660900	AT1G08430	3
3UTR	2679683	AT1G08465	1
intron	2677254	AT1G08465	1
3UTR	2685578	AT1G08480	96
intron	2684718	AT1G08480	1
3UTR	2685657	AT1G08490	20
3UTR	2685735	AT1G08490	17
3UTR	2690158	AT1G08500	1
5UTR	2694298	AT1G08510	1
3UTR	2703157	AT1G08530	2
3UTR	2709470	AT1G08550	3
3UTR	2709698	AT1G08560	1
3UTR	2714831	AT1G08570	4
3UTR	2715038	AT1G08580	1
3UTR	2715178	AT1G08580	1
3UTR	2733674	AT1G08610	1
CDS	2734360	AT1G08610	5
3UTR	2743674	AT1G08620	2
CDS	2744743	AT1G08630	3
CDS	2745361	AT1G08630	1
3UTR	2760345	AT1G08670	1
3UTR	2769721	AT1G08700	1
3UTR	2779350	AT1G08720	1
CDS	2775973	AT1G08720	1
CDS	2776035	AT1G08720	1
3UTR	2804596	AT1G08750	2
3UTR	2809708	AT1G08770	1
3UTR	2809745	AT1G08770	2
intron	2814870	AT1G08800	2
3UTR	2829371	AT1G08840	1
3UTR	2841099	AT1G08845	2
intron	2843410	AT1G08860	1
3UTR	2852255	AT1G08890	24
3UTR	2861125	AT1G08910	2
CDS	2869860	AT1G08920	1
CDS	2873994	AT1G08930	4
intron	2875500	AT1G08930	1
CDS	2881795	AT1G08960	1
3UTR	2890908	AT1G08990	15
3UTR	2890981	AT1G08990	1
CDS	2888857	AT1G08990	1
5UTR	2899290	AT1G09010	1
3UTR	2900033	AT1G09020	1
3UTR	2929023	AT1G09070	1
3UTR	2929078	AT1G09070	13
CDS	2928077	AT1G09070	1
CDS	2938759	AT1G09100	1
3UTR	2952834	AT1G09160	1
3UTR	2952920	AT1G09160	9
3UTR	2956320	AT1G09170	1
3UTR	2956381	AT1G09170	1
3UTR	2964730	AT1G09176	4
3UTR	2972892	AT1G09210	1
3UTR	2979487	AT1G09230	5
intron	2981400	AT1G09230	1
3UTR	2985967	AT1G09240	1
3UTR	2986065	AT1G09240	8
3UTR	2986110	AT1G09240	3
3UTR	2990366	AT1G09250	3
3UTR	2998229	AT1G09270	1
3UTR	2998157	AT1G09280	9
CDS	2999083	AT1G09280	1
3UTR	3009977	AT1G09320	1
3UTR	3010030	AT1G09320	5
CDS	3011127	AT1G09320	1
3UTR	3018305	AT1G09340	1
CDS	3017178	AT1G09340	1
3UTR	3037847	AT1G09415	4
3UTR	3038413	AT1G09420	1
3UTR	3045306	AT1G09430	1
3UTR	3045213	AT1G09440	1
3UTR	3055213	AT1G09460	2
3UTR	3055282	AT1G09460	6
3UTR	3055304	AT1G09470	1
3UTR	3060738	AT1G09480	1
intron	3059660	AT1G09480	1
3UTR	3079432	AT1G09530	2
3UTR	3112858	AT1G09610	1
3UTR	3112752	AT1G09620	3
3UTR	3118219	AT1G09630	9
CDS	3121474	AT1G09640	4
3UTR	3127227	AT1G09650	2
CDS	3137199	AT1G09690	3
intron	3142637	AT1G09710	1
intron	3143234	AT1G09710	1
3UTR	3147666	AT1G09730	2
3UTR	3158978	AT1G09750	1
3UTR	3159273	AT1G09760	2
CDS	3162861	AT1G09770	1
5UTR	3173538	AT1G09795	1
3UTR	3176805	AT1G09800	1
3UTR	3180938	AT1G09810	4
3UTR	3204067	AT1G09850	10
3UTR	3204095	AT1G09850	1
3UTR	3204127	AT1G09850	2
3UTR	3214111	AT1G09890	1
3UTR	3219995	AT1G09900	1
3UTR	3220156	AT1G09900	1
intron	3222181	AT1G09910	5
intron	3224037	AT1G09910	1
CDS	3224990	AT1G09920	1
3UTR	3227360	AT1G09930	3
CDS	3228904	AT1G09930	2
3UTR	3230380	AT1G09932	3
3UTR	3230436	AT1G09932	10
3UTR	3230477	AT1G09932	32
3UTR	3230541	AT1G09932	5
3UTR	3230613	AT1G09932	2
3UTR	3230670	AT1G09932	7
3UTR	3233818	AT1G09935	1
intron	3238869	AT1G09940	2
3UTR	3256156	AT1G09980	2
3UTR	3256215	AT1G09980	3
3UTR	3262452	AT1G09995	1
intron	3262490	AT1G09995	9
intron	3262574	AT1G09995	1
3UTR	3269794	AT1G10020	1
3UTR	3269864	AT1G10020	1
5UTR	3273960	AT1G10030	1
3UTR	3275961	AT1G10040	1
CDS	3278333	AT1G10040	1
3UTR	3287017	AT1G10060	4
3UTR	3287168	AT1G10060	1
3UTR	3287206	AT1G10060	1
3UTR	3290288	AT1G10070	5
3UTR	3290265	AT1G10090	25
3UTR	3290295	AT1G10090	4
3UTR	3290326	AT1G10090	9
3UTR	3290441	AT1G10090	1
3UTR	3290505	AT1G10090	3
CDS	3291859	AT1G10090	6
3UTR	3322151	AT1G10130	3
CDS	3321735	AT1G10130	1
intron	3313284	AT1G10130	1
3UTR	3327648	AT1G10150	1
3UTR	3350972	AT1G10210	1
3UTR	3351023	AT1G10210	1
3UTR	3351081	AT1G10210	2
3UTR	3351115	AT1G10210	3
3UTR	3356250	AT1G10230	1
3UTR	3366680	AT1G10280	1
3UTR	3390298	AT1G10330	2
3UTR	3390441	AT1G10330	1
3UTR	3390326	AT1G10340	1
3UTR	3390397	AT1G10340	1
CDS	3391087	AT1G10340	9
intron	3391406	AT1G10340	1
intron	3396393	AT1G10360	3
3UTR	3402329	AT1G10380	1
3UTR	3416699	AT1G10410	43
3UTR	3416769	AT1G10410	3
3UTR	3424281	AT1G10417	2
3UTR	3428559	AT1G10430	1
3UTR	3428633	AT1G10430	1
3UTR	3438334	AT1G10450	10
3UTR	3439223	AT1G10460	3
3UTR	3439359	AT1G10460	1
3UTR	3439407	AT1G10460	1
3UTR	3442369	AT1G10470	21
3UTR	3450531	AT1G10480	1
3UTR	3450591	AT1G10480	2
CDS	3449969	AT1G10480	1
CDS	3454723	AT1G10490	1
3UTR	3469403	AT1G10520	1
3UTR	3474863	AT1G10540	3
3UTR	3479063	AT1G10550	1
3UTR	3491278	AT1G10570	12
3UTR	3491305	AT1G10570	1
3UTR	3491316	AT1G10580	4
CDS	3493011	AT1G10580	2
CDS	3493101	AT1G10580	4
intron	3491820	AT1G10580	1
3UTR	3493839	AT1G10585	1
3UTR	3494026	AT1G10585	1
3UTR	3501779	AT1G10588	1
CDS	3502461	AT1G10590	1
3UTR	3505484	AT1G10600	26
intron	3517259	AT1G10640	1
3UTR	3531730	AT1G10657	4
3UTR	3531804	AT1G10657	2
3UTR	3534838	AT1G10660	1
intron	3533355	AT1G10660	1
3UTR	3538202	AT1G10670	2
CDS	3536291	AT1G10670	3
3UTR	3549873	AT1G10690	1
3UTR	3556381	AT1G10700	2
3UTR	3556477	AT1G10700	6
3UTR	3564807	AT1G10720	1
3UTR	3568018	AT1G10730	2
CDS	3569853	AT1G10740	1
