region	coord	gene	WT PAT#	Oxt6 PAT#
3UTR	1863410	AT1G06137	2	2
3UTR	1869059	AT1G06150	3	1
3UTR	1883848	AT1G06160	6	1
3UTR	1883956	AT1G06160	30	42
CDS	1883768	AT1G06160	1	1
3UTR	1891159	AT1G06180	4	1
CDS	1890939	AT1G06180	9	1
3UTR	1892288	AT1G06190	109	205
3UTR	1894399	AT1G06200	384	292
3UTR	1904734	AT1G06220	51	88
3UTR	1904808	AT1G06220	31	39
intron	1909858	AT1G06230	1	1
3UTR	1913052	AT1G06240	2	1
3UTR	1913109	AT1G06240	7	1
3UTR	1913175	AT1G06240	14	2
3UTR	1917995	AT1G06270	1	2
3UTR	1926175	AT1G06290	6	179
3UTR	1938962	AT1G06360	14	9
3UTR	1939032	AT1G06360	7	9
3UTR	1946150	AT1G06380	1	2
3UTR	1950729	AT1G06390	234	96
3UTR	1950778	AT1G06400	1	2
3UTR	1950928	AT1G06400	206	595
3UTR	1958736	AT1G06410	44	7
3UTR	1960081	AT1G06430	125	199
3UTR	1963268	AT1G06440	7	1
3UTR	1967220	AT1G06450	6	1
3UTR	1967092	AT1G06460	118	148
3UTR	1967196	AT1G06460	52	856
CDS	1968278	AT1G06460	2	1
3UTR	1973835	AT1G06475	4	1
3UTR	1990725	AT1G06500	1	4
3UTR	1990655	AT1G06515	168	4
3UTR	2002693	AT1G06530	194	576
CDS	2002109	AT1G06530	2	53
CDS	2002197	AT1G06530	17	7
CDS	2002284	AT1G06530	2	40
3UTR	2003627	AT1G06550	21	4
3UTR	2003694	AT1G06550	8	4
3UTR	2011980	AT1G06560	92	127
intron	2010946	AT1G06560	1	8
3UTR	2011885	AT1G06570	3	5
3UTR	2011940	AT1G06570	31	129
3UTR	2016305	AT1G06590	6	3
3UTR	2033937	AT1G06640	934	689
3UTR	2037268	AT1G06650	11	7
3UTR	2037365	AT1G06650	11	7
3UTR	2047524	AT1G06670	71	413
3UTR	2049302	AT1G06680	3397	3897
3UTR	2049622	AT1G06690	57	114
3UTR	2052482	AT1G06700	24	8
3UTR	2052614	AT1G06700	15	3
3UTR	2076388	AT1G06760	2	1
3UTR	2086968	AT1G06780	43	3
3UTR	2089535	AT1G06790	3	1
3UTR	2092969	AT1G06820	498	337
3UTR	2097670	AT1G06840	3	3
3UTR	2106750	AT1G06850	103	50
3UTR	2106847	AT1G06850	5	7
3UTR	2110977	AT1G06870	53	1
3UTR	2111651	AT1G06890	18	230
3UTR	2130159	AT1G06950	58	2887
3UTR	2150264	AT1G07000	19	1
CDS	2151213	AT1G07000	2	1
3UTR	2155237	AT1G07010	16	7
3UTR	2158419	AT1G07030	91	211
3UTR	2160950	AT1G07040	11	58
3UTR	2161100	AT1G07040	321	257
3UTR	2169835	AT1G07070	87	124
3UTR	2171901	AT1G07080	1	6
3UTR	2172029	AT1G07080	373	548
3UTR	2174079	AT1G07090	2	2
3UTR	2178135	AT1G07110	24	3
3UTR	2188576	AT1G07130	12	17
3UTR	2188703	AT1G07130	7	2
3UTR	2189830	AT1G07135	1	9
3UTR	2190069	AT1G07135	2041	6396
3UTR	2191895	AT1G07140	11	7
3UTR	2192035	AT1G07140	97	115
CDS	2192440	AT1G07140	11	30
CDS	2192515	AT1G07140	2	1
CDS	2192569	AT1G07140	4	7
3UTR	2201078	AT1G07170	5	2
3UTR	2201160	AT1G07170	73	33
3UTR	2206904	AT1G07180	53	36
3UTR	2208815	AT1G07200	126	150
3UTR	2216978	AT1G07210	86	43
3UTR	2217020	AT1G07220	2	25
3UTR	2220254	AT1G07230	4	15
3UTR	2220436	AT1G07230	55	197
3UTR	2225426	AT1G07240	20	11
3UTR	2227421	AT1G07250	2	1
3UTR	2227566	AT1G07250	136	129
CDS	2227273	AT1G07250	33	129
3UTR	2227601	AT1G07260	13	17
3UTR	2241128	AT1G07280	186	130
3UTR	2241218	AT1G07280	4	1
3UTR	2241246	AT1G07280	1	1
CDS	2240766	AT1G07280	1	2
3UTR	2245728	AT1G07300	5	1
3UTR	2245757	AT1G07300	5	1
3UTR	2247525	AT1G07310	112	13
3UTR	2257440	AT1G07350	27	75
3UTR	2257582	AT1G07350	18	62
3UTR	2260392	AT1G07360	8	8
3UTR	2264676	AT1G07380	85	4400
3UTR	2274816	AT1G07390	2	3
3UTR	2274850	AT1G07390	1	1
3UTR	2275767	AT1G07400	35	69
CDS	2275352	AT1G07400	3	16
3UTR	2277303	AT1G07410	1	8
3UTR	2277394	AT1G07410	3	3
3UTR	2280287	AT1G07420	166	10
3UTR	2286307	AT1G07440	6	5
3UTR	2286339	AT1G07440	1	2
3UTR	2294530	AT1G07470	33	13
3UTR	2296474	AT1G07480	69	10
3UTR	2296514	AT1G07480	3	9
3UTR	2301461	AT1G07490	8	39
3UTR	2309543	AT1G07510	40	46
3UTR	2309563	AT1G07520	6	20
3UTR	2313581	AT1G07530	63	51
3UTR	2331138	AT1G07570	19	1
3UTR	2331225	AT1G07570	30	4
5UTR	2338661	AT1G07590	5645	154
3UTR	2342076	AT1G07610	117	1
3UTR	2351564	AT1G07630	31	8
3UTR	2351693	AT1G07630	2	3
3UTR	2351755	AT1G07630	5	2
3UTR	2354353	AT1G07640	153	73
3UTR	2354423	AT1G07640	10	33
3UTR	2359693	AT1G07650	1	2
3UTR	2369735	AT1G07660	222	535
3UTR	2370049	AT1G07670	7	1
3UTR	2370126	AT1G07670	3	3
3UTR	2390757	AT1G07720	6	2
3UTR	2390836	AT1G07720	26	10
3UTR	2390917	AT1G07720	2	4
3UTR	2397396	AT1G07730	3	1
3UTR	2397457	AT1G07730	10	17
3UTR	2400656	AT1G07745	6	5
3UTR	2404097	AT1G07750	210	123
3UTR	2404176	AT1G07750	3	49
3UTR	2408289	AT1G07770	1714	1850
3UTR	2410104	AT1G07780	2	2
3UTR	2410220	AT1G07780	135	16
3UTR	2413671	AT1G07790	9	15
3UTR	2420687	AT1G07810	6	18
3UTR	2423605	AT1G07830	117	42
3UTR	2426570	AT1G07840	1	1
3UTR	2426676	AT1G07840	6	1
3UTR	2434040	AT1G07880	15	1
3UTR	2439653	AT1G07890	3086	294
3UTR	2454561	AT1G07910	5	2
3UTR	2457276	AT1G07920	141	256
3UTR	2460695	AT1G07930	25	15
3UTR	2463113	AT1G07940	129	351
3UTR	2465772	AT1G07950	71	4
3UTR	2465823	AT1G07950	45	6
3UTR	2469140	AT1G07960	206	9
3UTR	2473252	AT1G07980	4	6
CDS	2474626	AT1G07980	2	1
CDS	2474709	AT1G07980	1	1
3UTR	2483102	AT1G07990	14	14
CDS	2482741	AT1G07990	8	20
3UTR	2483257	AT1G08000	13	112
3UTR	2483334	AT1G08000	1	3
3UTR	2485925	AT1G08010	55	98
3UTR	2489534	AT1G08030	18	8
3UTR	2495356	AT1G08040	60	153
3UTR	2501762	AT1G08060	10	10
3UTR	2537851	AT1G08110	36	56
3UTR	2537931	AT1G08110	266	44
3UTR	2539593	AT1G08125	4	4
3UTR	2559415	AT1G08160	177	265
3UTR	2561668	AT1G08165	4	4
3UTR	2564642	AT1G08180	8	2
3UTR	2573371	AT1G08190	165	1450
3UTR	2574000	AT1G08200	529	15
3UTR	2574065	AT1G08200	129	7
3UTR	2577035	AT1G08210	9	7
3UTR	2583677	AT1G08230	41	5
intron	2586211	AT1G08230	2	9
3UTR	2588920	AT1G08250	17	17
3UTR	2609854	AT1G08280	26	33
CDS	2608926	AT1G08280	1	1
3UTR	2620447	AT1G08315	7	3
3UTR	2637796	AT1G08360	1	1
3UTR	2637881	AT1G08360	76	27
3UTR	2640528	AT1G08370	3	5
3UTR	2640917	AT1G08380	4178	1597
3UTR	2643285	AT1G08390	20	2
3UTR	2643253	AT1G08400	1	2
3UTR	2643329	AT1G08400	39	26
3UTR	2657064	AT1G08420	489	304
3UTR	2661042	AT1G08430	8	2
3UTR	2661142	AT1G08430	10	7
3UTR	2667880	AT1G08450	1203	9428
3UTR	2667970	AT1G08450	1	14
CDS	2668327	AT1G08450	2	2
CDS	2668499	AT1G08450	16	34
CDS	2669257	AT1G08450	4	44
3UTR	2674613	AT1G08460	102	153
3UTR	2679594	AT1G08465	8	10
3UTR	2679729	AT1G08465	4	3
3UTR	2679770	AT1G08465	1	1
3UTR	2682126	AT1G08470	33	26
3UTR	2685504	AT1G08480	1	2
3UTR	2685706	AT1G08490	2	1
3UTR	2689898	AT1G08500	11	1
3UTR	2689995	AT1G08500	1	2
3UTR	2690067	AT1G08500	10	1
3UTR	2691220	AT1G08510	103	1300
3UTR	2691313	AT1G08510	13	14
3UTR	2700936	AT1G08520	121	502
3UTR	2703089	AT1G08530	5	50
3UTR	2706781	AT1G08540	106	1931
CDS	2706553	AT1G08540	1	3
CDS	2709161	AT1G08550	3	22
3UTR	2709631	AT1G08560	5	2
3UTR	2714674	AT1G08570	1	2
3UTR	2714735	AT1G08570	116	21
3UTR	2715100	AT1G08580	35	66
intron	2715471	AT1G08580	9	11
3UTR	2722203	AT1G08590	4	3
3UTR	2733626	AT1G08600	1	28
3UTR	2733603	AT1G08610	6	2
CDS	2738689	AT1G08620	1	1
3UTR	2743839	AT1G08630	14	20
3UTR	2748465	AT1G08640	243	134
3UTR	2748534	AT1G08640	2	7
3UTR	2753608	AT1G08650	1	1
3UTR	2753651	AT1G08650	1	1
3UTR	2753698	AT1G08650	15	5
3UTR	2757039	AT1G08660	357	507
3UTR	2768602	AT1G08680	65	327
3UTR	2768638	AT1G08680	1	1
3UTR	2768984	AT1G08680	1	6
3UTR	2769778	AT1G08700	9	1
3UTR	2769832	AT1G08700	12	2
3UTR	2779267	AT1G08720	67	6
3UTR	2808603	AT1G08760	45	82
3UTR	2809814	AT1G08780	26	71
3UTR	2813062	AT1G08800	76	2
3UTR	2819035	AT1G08810	2	20
3UTR	2819110	AT1G08810	1	12
3UTR	2829257	AT1G08830	1594	2378
3UTR	2841003	AT1G08845	10	1
3UTR	2846953	AT1G08880	66	19
3UTR	2855739	AT1G08900	131	7
3UTR	2861051	AT1G08910	7	4
3UTR	2861079	AT1G08910	1	5
3UTR	2879165	AT1G08940	32	48
3UTR	2879225	AT1G08940	1	2
CDS	2877963	AT1G08940	1	8
CDS	2878828	AT1G08940	2	4
CDS	2879055	AT1G08940	1	1
3UTR	2886485	AT1G08980	5	17
3UTR	2886615	AT1G08980	140	117
3UTR	2895125	AT1G09000	4	6
3UTR	2895227	AT1G09000	5	8
3UTR	2895177	AT1G09010	29	15
3UTR	2899914	AT1G09020	7	2
3UTR	2899955	AT1G09020	1	1
3UTR	2921091	AT1G09060	57	3
3UTR	2928897	AT1G09070	2811	450
3UTR	2936581	AT1G09090	1	1
3UTR	2936546	AT1G09100	9	9
3UTR	2942617	AT1G09140	53	18
3UTR	2949091	AT1G09150	3	13
3UTR	2949129	AT1G09150	46	16
3UTR	2966047	AT1G09180	4	1
3UTR	2966039	AT1G09190	7	1
3UTR	2966136	AT1G09190	11	46
3UTR	2967940	AT1G09195	6	9
3UTR	2971627	AT1G09200	212	2390
3UTR	2972965	AT1G09210	4	1
3UTR	2973022	AT1G09210	30	11
3UTR	2977786	AT1G09220	1	1
3UTR	2990302	AT1G09250	138	55
3UTR	2998132	AT1G09270	53	19
3UTR	2998177	AT1G09270	4	2
3UTR	3008225	AT1G09300	40	56
3UTR	3008270	AT1G09300	3	1
3UTR	3009824	AT1G09310	4006	32061
3UTR	3010146	AT1G09320	1	1
3UTR	3012761	AT1G09330	275	1
3UTR	3012822	AT1G09330	119	1
3UTR	3018116	AT1G09340	988	504
3UTR	3018277	AT1G09340	10	5
3UTR	3033586	AT1G09390	9	1
3UTR	3037786	AT1G09415	22	6
5UTR	3038364	AT1G09415	1	3
3UTR	3038468	AT1G09420	11	5
3UTR	3045220	AT1G09430	62	8
3UTR	3045271	AT1G09430	2	1
3UTR	3045286	AT1G09440	4	6
3UTR	3065902	AT1G09490	5	7
3UTR	3070932	AT1G09520	11	4
3UTR	3071049	AT1G09520	21	3
3UTR	3079464	AT1G09530	5	1
3UTR	3087852	AT1G09540	7	4
3UTR	3094764	AT1G09560	5	1
3UTR	3094824	AT1G09560	370	21
3UTR	3095188	AT1G09570	1	1
3UTR	3095389	AT1G09570	51	48
3UTR	3101651	AT1G09575	591	1038
3UTR	3106290	AT1G09580	8	1
3UTR	3107753	AT1G09590	33	44
CDS	3106780	AT1G09590	13	1
3UTR	3112905	AT1G09620	63	55
3UTR	3122320	AT1G09640	249	75
3UTR	3122525	AT1G09640	362	78
3UTR	3124576	AT1G09645	117	3
3UTR	3127806	AT1G09660	323	509
3UTR	3127923	AT1G09660	6	29
3UTR	3136267	AT1G09690	382	586
3UTR	3137813	AT1G09700	4	1
3UTR	3137849	AT1G09700	1	2
3UTR	3144357	AT1G09710	277	988
3UTR	3147790	AT1G09730	29	5
3UTR	3156234	AT1G09740	4	365
3UTR	3159146	AT1G09750	783	4286
3UTR	3159230	AT1G09750	19	4
3UTR	3159193	AT1G09760	21	12
3UTR	3165282	AT1G09770	106	103
CDS	3164591	AT1G09770	3	5
3UTR	3165398	AT1G09780	110	321
3UTR	3165461	AT1G09780	2	9
3UTR	3176870	AT1G09795	36	22
3UTR	3176899	AT1G09795	5	4
3UTR	3176914	AT1G09800	48	35
3UTR	3188738	AT1G09812	19	18
3UTR	3190243	AT1G09815	66	51
3UTR	3190253	AT1G09820	3	1
3UTR	3192682	AT1G09830	53	47
3UTR	3195867	AT1G09840	65	8
3UTR	3208592	AT1G09870	35	3
3UTR	3220070	AT1G09900	66	338
3UTR	3220062	AT1G09910	15	5
3UTR	3224683	AT1G09920	23	1
3UTR	3236994	AT1G09940	26	56
3UTR	3237065	AT1G09940	1	21
CDS	3237242	AT1G09940	4	2
3UTR	3240640	AT1G09950	133	1
3UTR	3247183	AT1G09960	2	2
3UTR	3255644	AT1G09970	135	31
3UTR	3256289	AT1G09980	8	1
3UTR	3256336	AT1G09980	17	31
