id	Protein IDs	Majority protein IDs	Protein names	Gene names	iBAQ CCL_H rep1	log10 IBAQ CCL rep1	iBAQ CCL_L rep2	log10 IBAQ CCL rep2	iBAQ CCL_L rep3	log10 IBAQ CCL rep3	Median IBAQ CCL	log10 Median CCL	Ratio CCl_H/NoCL_L rep1	Ratio CLL_L/NoCL_H rep2	Ratio CLL_L/NoCL_H rep3	iBAQ	iBAQ L	iBAQ H	iBAQ rep1	iBAQ NoCL_L rep1	iBAQ rep2	iBAQ NoCL_H rep2	iBAQ rep3	iBAQ NoCL_H rep3	GOBP name	GOMF name	GOCC name	KEGG name	Pfam	Ratio H/L count rep1	Ratio H/L count rep2	Ratio H/L count rep3	Intensity L	Intensity H	Intensity rep1	Intensity L rep1	Intensity H rep1	Intensity rep2	Intensity L rep2	Intensity H rep2	Intensity rep3	Intensity L rep3	Intensity H rep3
11	A6QRD1;F4JNU1;F4JNU3;F4JNT9;Q494N5;F4JNU2	A6QRD1;F4JNU1;F4JNU3;F4JNT9;Q494N5;F4JNU2			442580	5.6459917845	345010	5.5378316831	855950	5.9324483963	442580	5.6459917845	NaN	1.12051	3.10185	1879000	1224300	654750	465880	23304	501820	156810	911310	55366		binding;nucleic acid binding;nucleotide binding			RRM_1	1	2	2	7345600	3928500	2795300	139830	2655500	3010900	2070100	940840	5467900	5135700	332200
12	A7KNE3;G1C2S9;F4IMB5	A7KNE3;G1C2S9;F4IMB5	ATP synthase subunit alpha	atp1	0	NaN	0	NaN	0	NaN	0	Err:502	NaN	NaN	NaN	11878	11878	0	11878	11878	0	0	0	0	ATP biosynthetic process;ATP hydrolysis coupled proton transport;ATP metabolic process;ATP synthesis coupled proton transport;biosynthetic process;cation transport;cellular biosynthetic process;cellular metabolic process;cellular nitrogen compound biosynthetic process;cellular nitrogen compound metabolic process;cellular process;energy coupled proton transport, against electrochemical gradient;energy coupled proton transport, down electrochemical gradient;establishment of localization;heterocycle biosynthetic process;heterocycle metabolic process;hydrogen transport;ion transmembrane transport;ion transport;metabolic process;monovalent inorganic cation transport;nitrogen compound metabolic process;nucleobase-containing compound biosynthetic process;nucleobase-containing compound metabolic process;nucleobase-containing small molecule metabolic process;nucleoside phosphate metabolic process;nucleoside triphosphate biosynthetic process;nucleoside triphosphate metabolic process;nucleotide biosynthetic process;nucleotide metabolic process;primary metabolic process;proton transport;purine nucleoside triphosphate biosynthetic process;purine nucleoside triphosphate metabolic process;purine nucleotide biosynthetic process;purine nucleotide metabolic process;purine ribonucleoside triphosphate biosynthetic process;purine ribonucleoside triphosphate metabolic process;purine ribonucleotide biosynthetic process;purine ribonucleotide metabolic process;purine-containing compound biosynthetic process;purine-containing compound metabolic process;ribonucleoside triphosphate biosynthetic process;ribonucleoside triphosphate metabolic process;ribonucleotide biosynthetic process;ribonucleotide metabolic process;small molecule metabolic process;transmembrane transport;transport	active transmembrane transporter activity;adenyl nucleotide binding;adenyl ribonucleotide binding;ATP binding;ATPase activity;ATPase activity, coupled;ATPase activity, coupled to movement of substances;ATPase activity, coupled to transmembrane movement of ions;ATPase activity, coupled to transmembrane movement of substances;binding;catalytic activity;cation binding;cation transmembrane transporter activity;cation-transporting ATPase activity;hydrogen ion transmembrane transporter activity;hydrogen ion transporting ATP synthase activity, rotational mechanism;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;inorganic cation transmembrane transporter activity;ion binding;ion transmembrane transporter activity;metal ion binding;monovalent inorganic cation transmembrane transporter activity;nucleic acid binding;nucleoside-triphosphatase activity;nucleotide binding;poly(U) RNA binding;poly-pyrimidine tract binding;P-P-bond-hydrolysis-driven transmembrane transporter activity;primary active transmembrane transporter activity;proton-transporting ATPase activity, rotational mechanism;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;pyrophosphatase activity;ribonucleotide binding;RNA binding;single-stranded RNA binding;substrate-specific transmembrane transporter activity;substrate-specific transporter activity;transition metal ion binding;transmembrane transporter activity;transporter activity;zinc ion binding	cell part;chloroplast envelope;chloroplast part;cytoplasmic part;envelope;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane;membrane part;membrane-bounded organelle;mitochondrion;non-membrane-bounded organelle;nuclear part;nucleolus;organelle;organelle envelope;organelle membrane;organelle part;plastid envelope;plastid part;protein complex;proton-transporting ATP synthase complex, catalytic core F(1);proton-transporting two-sector ATPase complex, catalytic domain;vacuolar membrane;vacuolar part	Alzheimer's disease;Huntington's disease;Oxidative phosphorylation;Parkinson's disease	ATP-synt_ab;ATP-synt_ab_C;ATP-synt_ab_N	0	0	0	273200	0	273200	273200	0	0	0	0	0	0	0
13	A8MPR6;B9DGE5;Q1JPL5;Q0WPP4;Q9LUT8	A8MPR6;B9DGE5;Q1JPL5;Q0WPP4;Q9LUT8		ECT6;AT3G17330;At3g17330	160120	5.2044455814	82075	4.9142108914	369590	5.567720212	160120	5.2044455814	2.9344	NaN	3.16178	641510	460270	181230	168730	8611.5	84805	2730.2	387970	18387					YTH	4	1	5	13348000	5255800	4893100	249730	4643400	2459400	2380200	79176	11251000	10718000	533240
14	A8MQ78;Q6NQ72	A8MQ78;Q6NQ72		ALY4	954660	5.9798487261	366300	5.5638369187	1950800	6.2902127469	954660	5.9798487261	2.28007	0.916262	2.25257	4557700	2972200	1585600	1609700	655050	431060	64761	2517000	566140		binding;nucleic acid binding;nucleotide binding	cell part;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;non-membrane-bounded organelle;nuclear part;nucleolus;organelle;organelle part	mRNA surveillance pathway;RNA transport;Spliceosome	FoP_duplication	6	3	9	53499000	28540000	28975000	11791000	17184000	7759000	6593300	1165700	45305000	35115000	10191000
15	A8MQA1;P41127;B9DGA4;F4IWP7;B9DFM3;Q6LAB9;Q9SMT4	A8MQA1;P41127;B9DGA4;F4IWP7	60S ribosomal protein L13;60S ribosomal protein L13-1	BBC1;RPL13B;AT3G49010	1076800	6.0321350469	901650	5.955037987	2301700	6.3620487177	1076800	6.0321350469	2.89107	4.01994	3.14561	4720200	3326900	1393300	1200300	123530	989110	87456	2530800	229010	biosynthetic process;cellular biosynthetic process;cellular macromolecule biosynthetic process;cellular macromolecule metabolic process;cellular metabolic process;cellular process;cellular protein metabolic process;macromolecule biosynthetic process;macromolecule metabolic process;metabolic process;primary metabolic process;protein metabolic process;translation	structural constituent of ribosome;structural molecule activity	cell junction;cell part;cell wall;cell-cell junction;cytoplasmic part;cytosolic large ribosomal subunit;external encapsulating structure;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;large ribosomal subunit;macromolecular complex;membrane;non-membrane-bounded organelle;nuclear part;nucleolus;organelle;organelle membrane;organelle part;plasma membrane;plasmodesma;ribonucleoprotein complex;ribosome;vacuolar membrane;vacuolar part	Ribosome	Ribosomal_L13e	2	3	6	33269000	13933000	12003000	1235300	10768000	9891100	9016500	874560	25308000	23017000	2290100
16	A8MQK3;Q9ZP06;Q9LKA3	A8MQK3;Q9ZP06;Q9LKA3	Malate dehydrogenase;Malate dehydrogenase 1, mitochondrial;Malate dehydrogenase 2, mitochondrial	mMDH2	1738.3	3.2401247302	0	NaN	0	NaN	0	Err:502	NaN	NaN	NaN	26589	24850	1738.3	26589	24850	0	0	0	0	acetyl-CoA catabolic process;acetyl-CoA metabolic process;carbohydrate metabolic process;carboxylic acid metabolic process;catabolic process;cellular carbohydrate metabolic process;cellular catabolic process;cellular ketone metabolic process;cellular metabolic process;cellular process;coenzyme catabolic process;coenzyme metabolic process;cofactor catabolic process;cofactor metabolic process;defense response;defense response to bacterium;dicarboxylic acid metabolic process;malate metabolic process;metabolic process;multi-organism process;organic acid metabolic process;oxoacid metabolic process;primary metabolic process;response to abiotic stimulus;response to bacterium;response to biotic stimulus;response to cadmium ion;response to chemical stimulus;response to cold;response to inorganic substance;response to metal ion;response to osmotic stress;response to other organism;response to salt stress;response to stimulus;response to stress;response to temperature stimulus;small molecule metabolic process;tricarboxylic acid cycle	binding;catalytic activity;cation binding;copper ion binding;ion binding;L-malate dehydrogenase activity;malate dehydrogenase activity;metal ion binding;oxidoreductase activity;oxidoreductase activity, acting on CH-OH group of donors;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;transition metal ion binding	apoplast;cell part;cell wall;chloroplast;cytoplasmic part;external encapsulating structure;extracellular region;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle lumen;intracellular organelle part;intracellular part;membrane;membrane-bounded organelle;membrane-enclosed lumen;mitochondrial matrix;mitochondrial part;mitochondrion;organelle;organelle lumen;organelle part;plastid	Carbon fixation in photosynthetic organisms;Citrate cycle (TCA cycle);Glyoxylate and dicarboxylate metabolism;Pyruvate metabolism	Ldh_1_C;Ldh_1_N	1	0	0	323060	22598	345650	323060	22598	0	0	0	0	0	0
17	A8MR27;Q6ICX4;Q0WQH0	A8MR27;Q6ICX4;Q0WQH0	Polypyrimidine tract-binding protein homolog 3	PTB3;At1g43190	300310	5.477569794	539460	5.731959248	6279500	6.7979250648	539460	5.731959248	3.94223	3.90992	3.00486	7633800	6829100	804640	310460	10151	549440	9984.8	6773900	494340	biological regulation;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;macromolecule metabolic process;metabolic process;mRNA metabolic process;mRNA processing;nitrogen compound metabolic process;nucleic acid metabolic process;nucleobase-containing compound metabolic process;posttranscriptional regulation of gene expression;primary metabolic process;regulation of biological process;regulation of biosynthetic process;regulation of cellular biosynthetic process;regulation of cellular macromolecule biosynthetic process;regulation of cellular metabolic process;regulation of cellular process;regulation of cellular protein metabolic process;regulation of gene expression;regulation of macromolecule biosynthetic process;regulation of macromolecule metabolic process;regulation of metabolic process;regulation of nitrogen compound metabolic process;regulation of nucleobase-containing compound metabolic process;regulation of primary metabolic process;regulation of protein metabolic process;regulation of RNA metabolic process;regulation of RNA splicing;regulation of translation;RNA metabolic process;RNA processing;RNA splicing	binding;nucleic acid binding;nucleotide binding;RNA binding	cell part;cytoplasmic mRNA processing body;cytoplasmic part;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular part;macromolecular complex;membrane-bounded organelle;non-membrane-bounded organelle;nucleus;organelle;ribonucleoprotein complex;RNA granule			3	3	11	129750000	15288000	5898800	192870	5705900	10439000	10250000	189710	128700000	119310000	9392500
18	A8MR40;Q9SIL3;O49457	A8MR40;Q9SIL3;O49457		F20O9.160	0	NaN	0	NaN	28755	4.4587133719	0	Err:502	NaN	NaN	NaN	28755	28755	0	0	0	0	0	28755	0	cellular macromolecule metabolic process;cellular metabolic process;cellular process;cellular protein metabolic process;macromolecule metabolic process;metabolic process;primary metabolic process;protein folding;protein metabolic process;response to stimulus;response to stress				DnaJ;DnaJ_C	0	0	0	373810	0	0	0	0	0	0	0	373810	373810	0
19	A8MR97;Q9LY40	A8MR97		EIF4G	729920	5.8632752636	532220	5.7260911906	2639100	6.4214558467	729920	5.8632752636	2.6792	2.56944	4.0599	4162900	3208000	954940	766620	36700	568630	36405	2827700	188610	cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;macromolecule metabolic process;metabolic process;nitrogen compound metabolic process;nucleic acid metabolic process;nucleobase-containing compound metabolic process;primary metabolic process;RNA metabolic process	binding;DNA binding;nucleic acid binding;RNA binding;translation factor activity, nucleic acid binding;translation initiation factor activity		RNA transport;Viral myocarditis	MA3;MIF4G	15	22	37	291930000	86899000	69762000	3339700	66423000	51745000	48432000	3312800	257320000	240160000	17164000
20	A8MRQ4;A8MSB9;F4JTU2;Q9SVM8	A8MRQ4;A8MSB9;F4JTU2;Q9SVM8	Glycine-rich RNA-binding protein 2, mitochondrial	GR-RBP2;RBG2	57026	4.7560729097	37979	4.5795435254	1946700	6.2892990289	57026	4.7560729097	NaN	NaN	0.887153	2190200	1989600	200530	62004	4978.3	37979	0	2090200	143510	cold acclimation;multicellular organismal process;response to abiotic stimulus;response to chemical stimulus;response to cold;response to osmotic stress;response to salt stress;response to stimulus;response to stress;response to temperature stimulus;response to water;response to water deprivation;seed germination	adenyl nucleotide binding;adenyl ribonucleotide binding;ATP binding;binding;cation binding;copper ion binding;DNA binding;double-stranded DNA binding;ion binding;metal ion binding;nucleic acid binding;nucleic acid binding transcription factor activity;nucleotide binding;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;ribonucleotide binding;RNA binding;RNA binding transcription antitermination factor activity;RNA binding transcription factor activity;single-stranded DNA binding;structure-specific DNA binding;transition metal ion binding	cell part;cytoplasmic part;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;membrane-bounded organelle;mitochondrion;organelle		RRM_1	1	0	3	11938000	1203200	372020	29870	342150	227880	227880	0	12541000	11680000	861040
21	B9DFR9;Q06611;D9IX99;A8MRW1;Q42039;Q42035;F4JHB6	B9DFR9;Q06611;D9IX99;A8MRW1;Q42039;Q42035;F4JHB6	Aquaporin PIP1-2	PIP1B;PIP1-2;Aqua;PIP1;4	46059	4.6633145046	0	NaN	963060	5.9836533451	46059	4.6633145046	NaN	NaN	NaN	1063400	974760	88605	57751	11693	0	0	1005600	42546	carbon dioxide transport;establishment of localization;gas transport;response to abiotic stimulus;response to chemical stimulus;response to osmotic stress;response to salt stress;response to stimulus;response to stress;response to water;response to water deprivation;transport	channel activity;passive transmembrane transporter activity;substrate-specific channel activity;substrate-specific transmembrane transporter activity;substrate-specific transporter activity;transmembrane transporter activity;transporter activity;water channel activity;water transmembrane transporter activity	anchored to membrane;anchored to plasma membrane;cell part;chloroplast;cytoplasmic part;integral to membrane;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;intrinsic to membrane;intrinsic to plasma membrane;membrane;membrane part;membrane-bounded organelle;organelle;plasma membrane;plasma membrane part;plastid;vacuole		MIP	1	0	1	7798000	708840	462010	93542	368470	0	0	0	8044900	7704500	340370
