Peak class,Chromosome,Start,End,Length,"Enrichment (Input/IP, Log2)",FDR,Peak position,Gene
PeakStop,Chr1,795665,795801,136,-3.6854480775,1.63E-05,StopCodon,AT1G03260
PeakStop,Chr1,806676,806876,200,-3.595689733,1.91E-13,StopCodon,AT1G03280
PeakStop,Chr1,818062,818226,164,-4.6789319998,4.93E-06,StopCodon,AT1G03330
PeakStop,Chr1,842826,842951,125,-3.084468862,0.0004033411,StopCodon,AT1G03400
PeakBoth,Chr1,869032,869301,269,-4.4034316924,1.72E-08,StopCodon,LIN2
PeakBoth,Chr1,871051,871176,125,-3.3984298584,1.75E-17,StartCodon,LIN2
PeakStart,Chr1,873576,873651,75,-2.284125844,1.00E-06,StartCodon,AT1G03495
PeakStart,Chr1,898876,899076,200,-3.4967105942,3.32E-05,StartCodon,PSB27
PeakStop,Chr1,909226,909326,100,-3.4954125408,3.63E-17,StopCodon,POR C
PeakStop,Chr1,916916,917076,160,-5.0206312551,2.66E-40,StopCodon,ATHM1
PeakStop,Chr1,920376,920526,150,-5.5288176209,8.31E-06,3pUTR,AT1G03687
PeakStart,Chr1,983276,983426,150,-3.0573399101,7.42E-08,StartCodon,FLA9
PeakStop,Chr1,992926,993026,100,-4.0209944404,5.16E-20,3pUTR,ATNAP4
PeakStop,Chr1,1000226,1000376,150,-4.0579455569,2.00E-08,StopCodon,AT1G03910
PeakStop,Chr1,1008026,1008151,125,-3.8736709641,1.14E-23,StopCodon,ADK1
PeakStart,Chr1,1010701,1010801,100,-2.1509338211,0.0004134836,StartCodon,AT1G03940
PeakStop,Chr1,1011268,1011426,158,-4.6199826629,3.43E-10,StopCodon,VPS2.3
PeakStop,Chr1,1075441,1075551,110,-5.6067844619,4.12E-19,3pUTR,TPR2
PeakStop,Chr1,1075752,1075976,224,-3.5710132248,3.22E-13,StopCodon,AT1G04140
PeakStop,Chr1,1113826,1113926,100,-4.1465339817,1.70E-14,StopCodon,AT1G04200
PeakStop,Chr1,1119532,1119601,69,-3.5359202949,0.0006870445,3pUTR,AT1G04210
PeakStart,Chr1,1122245,1122401,156,-3.5708429152,0.0001479893,StartCodon,KCS2
PeakStop,Chr1,1141712,1141801,89,-2.7955925341,2.38E-08,3pUTR,RPS15
PeakMid,Chr1,1150776,1150876,100,-2.9883196032,1.06E-05,CDS,AT1G04300
PeakStop,Chr1,1163212,1163326,114,-4.0861815114,1.82E-19,StopCodon,AT1G04340
PeakStop,Chr1,1193701,1193851,150,-3.3116398223,1.11E-06,StopCodon,AT1G04420
PeakStop,Chr1,1201301,1201401,100,-2.9817555071,2.48E-14,StopCodon,AT1G04430
PeakStop,Chr1,1205676,1205801,125,-4.0813381795,3.65E-27,StopCodon,CKL13
PeakStop,Chr1,1217226,1217351,125,-4.0098812806,2.46E-15,StopCodon,AT1G04480
PeakStop,Chr1,1230576,1230726,150,-5.234663952,9.31E-06,StopCodon,MAC3A
PeakStop,Chr1,1289832,1289951,119,-3.6356670355,1.32E-12,StopCodon,MEE4
PeakStop,Chr1,1324551,1324701,150,-3.8305496022,8.48E-10,StopCodon,KAT1
PeakStop,Chr1,1340826,1340901,75,-2.5423566945,5.56E-06,StopCodon,AT1G04780
PeakStop,Chr1,1356301,1356426,125,-3.3980613432,1.67E-08,StopCodon,TUA4
PeakStop,Chr1,1365249,1365476,227,-4.7601085049,2.01E-12,StopCodon,AT1G04850
PeakStop,Chr1,1403279,1403376,97,-3.6056045288,0.0014436136,3pUTR,ATTAF6
PeakStop,Chr1,1457108,1457176,68,-3.2167519943,4.00E-06,StopCodon,AT1G05070
PeakStop,Chr1,1483926,1484001,75,-2.4057621139,0.0002997537,StopCodon,AT1G05140
PeakStop,Chr1,1491129,1491251,122,-4.0491205238,2.96E-11,3pUTR,AT1G05170
PeakStop,Chr1,1531767,1531851,84,-4.5078792473,7.84E-20,StopCodon,AT1G05270
PeakStop,Chr1,1585509,1585601,92,-3.2042402534,3.32E-06,StopCodon,AT1G05410
PeakStop,Chr1,1628976,1629201,225,-4.9928166369,1.41E-07,StopCodon,NTMC2T2.1
PeakStop,Chr1,1630977,1631076,99,-4.5649052901,1.26E-06,StopCodon,AT1G05520
PeakStop,Chr1,1647820,1647951,131,-3.8810727891,1.87E-05,StopCodon,ATGSL06
PeakStop,Chr1,1717578,1717701,123,-4.2062419599,8.34E-08,StopCodon,AT1G05720
PeakStop,Chr1,1766709,1766876,167,-3.0682900694,9.64E-30,StopCodon,ATCTL1
PeakStop,Chr1,1784276,1784426,150,-4.2400097292,1.53E-11,3pUTR,ATARI5
PeakMul,Chr1,1791751,1791801,50,-2.5113285979,9.94E-07,CDS,AT1G05910
PeakMul,Chr1,1796389,1796576,187,-3.2026472132,0.0005125769,StopCodon,AT1G05910
PeakStop,Chr1,1801231,1801376,145,-4.1094947939,2.56E-36,StopCodon,CAT9
PeakStop,Chr1,1808428,1808526,98,-3.6490055939,0.0011883133,StopCodon,AT1G05960
PeakStart,Chr1,1821551,1821726,175,-3.3720594364,1.32E-06,StartCodon,AT1G06002
PeakStop,Chr1,1823761,1823876,115,-3.8517957064,0.0013439425,3pUTR,AT1G06010
PeakStop,Chr1,1828576,1828701,125,-2.7299629382,7.75E-05,StopCodon,STO
PeakStop,Chr1,1835276,1835451,175,-2.6835849795,0.0006242677,StopCodon,AT1G06070
PeakStop,Chr1,1857976,1858076,100,-4.369654214,7.64E-13,StopCodon,GLX2-4
PeakStop,Chr1,1869063,1869176,113,-3.1364262611,0.0001481851,3pUTR,EMB1444
PeakStop,Chr1,1894422,1894651,229,-5.6425701677,3.34E-22,StopCodon,AT1G06200
PeakStop,Chr1,1910476,1910601,125,-3.3424700087,9.22E-05,3pUTR,GTE4
PeakMid,Chr1,1911401,1911551,150,-3.2283795651,4.06E-05,CDS,AT1G06240
PeakStop,Chr1,1960095,1960276,181,-4.6105230622,2.55E-27,StopCodon,FTSH8
PeakStop,Chr1,1973451,1973726,275,-5.1112911341,6.23E-13,StopCodon,AT1G06470
PeakStop,Chr1,1990551,1990676,125,-3.1858350031,1.95E-08,StopCodon,AT1G06500
PeakMid,Chr1,2002126,2002351,225,-2.8303516908,9.76E-23,CDS,AT1G06530
PeakStop,Chr1,2037126,2037301,175,-3.3609960833,9.39E-13,StopCodon,AT1G06650
PeakStop,Chr1,2049695,2049776,81,-2.7239853931,0.0002424256,StopCodon,AT1G06690
PeakStop,Chr1,2052710,2052776,66,-3.5997724325,6.92E-06,StopCodon,AT1G06700
PeakStop,Chr1,2060630,2060751,121,-2.842105251,5.94E-06,StopCodon,AT1G06720
PeakStop,Chr1,2110783,2110901,118,-4.3429024646,5.45E-09,3pUTR,AT1G06870
PeakStop,Chr1,2111510,2111626,116,-4.5963629716,4.87E-14,StopCodon,AT1G06890
PeakStop,Chr1,2111676,2111776,100,-4.127241774,1.25E-05,StopCodon,AT1G06890
PeakStop,Chr1,2130254,2130351,97,-5.191262024,1.66E-32,StopCodon,TIC110
PeakStop,Chr1,2137576,2137701,125,-3.6202530901,0.0010311958,StopCodon,AT1G06960
PeakStart,Chr1,2162976,2163126,150,-2.7102409067,1.31E-05,StartCodon,AT1G07040
PeakStop,Chr1,2171851,2172001,150,-3.6369226657,3.49E-14,StopCodon,AT1G07080
PeakStop,Chr1,2178205,2178426,221,-4.1710342431,1.19E-07,StopCodon,F2KP
PeakStop,Chr1,2192101,2192226,125,-2.5924104511,7.43E-10,3pUTR,SIRANBP
PeakStop,Chr1,2206751,2206851,100,-3.6408191438,8.60E-10,StopCodon,ATNDI1
PeakStop,Chr1,2216751,2216851,100,-3.4017759309,5.43E-06,3pUTR,AT1G07210
PeakStop,Chr1,2217087,2217176,89,-2.7235412761,0.0001115823,StopCodon,AT1G07220
PeakStop,Chr1,2220460,2220551,91,-3.5406767555,7.88E-06,StopCodon,NPC1
PeakStart,Chr1,2226026,2226201,175,-3.4559349208,2.80E-07,StartCodon,UGT71C4
PeakStop,Chr1,2241001,2241126,125,-2.1570964705,1.98E-12,StopCodon,AT1G07280
PeakMid,Chr1,2248301,2248401,100,-3.1208633214,2.85E-18,CDS,AT1G07310
PeakStop,Chr1,2286342,2286451,109,-4.2028624052,0.0001775897,StopCodon,AT1G07440
PeakStop,Chr1,2294351,2294476,125,-4.2836247254,6.82E-05,StopCodon,AT1G07470
PeakStop,Chr1,2351451,2351551,100,-2.8009785317,1.64E-07,StopCodon,PLL5
PeakStop,Chr1,2359781,2359876,95,-3.6887914028,2.36E-21,StopCodon,AT1G07650
PeakStop,Chr1,2381101,2381251,150,-3.3186631808,9.57E-24,StopCodon,AT1G07700
PeakStop,Chr1,2408266,2408451,185,-4.5016472916,8.55E-13,StopCodon,RPS15A
PeakStop,Chr1,2439476,2439626,150,-3.4496278599,6.88E-63,StopCodon,APX1
PeakStop,Chr1,2457151,2457276,125,-2.6792532633,2.31E-29,3pUTR,AT1G07920
PeakStop,Chr1,2460476,2460701,225,-3.182311135,1.63E-27,StopCodon,AT1G07930
PeakStop,Chr1,2463088,2463201,113,-3.7131095491,1.58E-33,3pUTR,AT1G07940
PeakStop,Chr1,2468826,2468976,150,-4.5706350295,1.31E-11,StopCodon,ATPDIL5-1
PeakStop,Chr1,2482851,2482951,100,-2.7682104571,1.54E-09,StopCodon,AT1G07990
PeakStop,Chr1,2495418,2495526,108,-4.9599126543,3.65E-13,StopCodon,AT1G08040
PeakStart,Chr1,2501130,2501226,96,-2.971993653,4.59E-05,StartCodon,AT1G08050
PeakMid,Chr1,2502151,2502251,100,-4.2618829113,4.20E-09,CDS,MOM
PeakStop,Chr1,2537676,2537851,175,-4.0174945934,1.00E-15,StopCodon,AT1G08110
PeakStop,Chr1,2573225,2573351,126,-5.5523924225,0.0011403085,3pUTR,ATVPS41
PeakStop,Chr1,2574149,2574276,127,-5.1041838781,3.50E-19,StopCodon,AXS2
PeakStop,Chr1,2632939,2633026,87,-3.7548268732,0.0001869441,StopCodon,AT1G08350
PeakStop,Chr1,2637676,2637851,175,-4.0615302709,1.14E-26,StopCodon,AT1G08360
PeakStop,Chr1,2640376,2640501,125,-5.0594190566,8.16E-06,StopCodon,ATDCP1
PeakStop,Chr1,2656868,2656976,108,-4.3058286979,1.67E-07,3pUTR,BSL2
PeakStop,Chr1,2685426,2685576,150,-4.0429740332,7.46E-14,StopCodon,AT1G08480
PeakStop,Chr1,2685790,2685926,136,-3.1163773405,1.16E-08,3pUTR,ATSUFS
PeakStop,Chr1,2700776,2700901,125,-4.1243055441,5.30E-15,StopCodon,PDE166
PeakStop,Chr1,2702851,2703101,250,-3.0450590365,9.07E-07,StopCodon,AT1G08530
PeakStop,Chr1,2706501,2706776,275,-4.1471817833,6.13E-32,StopCodon,SIGB
PeakStop,Chr1,2715163,2715276,113,-3.5438605469,1.04E-05,StopCodon,AT1G08580
PeakStop,Chr1,2748551,2748676,125,-2.8624059719,7.29E-09,StopCodon,CJD1
PeakStart,Chr1,2771076,2771201,125,-3.5903293428,4.62E-08,StartCodon,PS1
PeakStop,Chr1,2779051,2779151,100,-3.6805305525,4.35E-06,StopCodon,EDR1
PeakStop,Chr1,2821619,2821776,157,-4.0878991475,4.69E-06,StopCodon,VAP27-2
PeakStop,Chr1,2829101,2829226,125,-4.3911329826,2.99E-63,StopCodon,CSD1
PeakStop,Chr1,2855551,2855676,125,-4.1355370704,3.51E-08,StopCodon,AT1G08900
PeakMid,Chr1,2860301,2860426,125,-2.3090877681,9.96E-06,CDS,EMB3001
PeakStop,Chr1,2895224,2895301,77,-3.8211737465,2.57E-05,StopCodon,AT1G09010
PeakStop,Chr1,2900102,2900201,99,-5.4564375475,3.70E-09,StopCodon,SNF4
PeakStop,Chr1,2939749,2939826,77,-5.0046850919,1.17E-13,StopCodon,AT1G09130
PeakStop,Chr1,2942703,2942851,148,-3.0964185125,3.62E-17,StopCodon,At-SR30
PeakStop,Chr1,2948890,2949001,111,-4.380700967,3.66E-13,StopCodon,AT1G09150
PeakStop,Chr1,2973078,2973201,123,-3.7161917391,0.000264993,StopCodon,CRT1b
PeakStop,Chr1,2979540,2979626,86,-4.2279779114,4.41E-13,StopCodon,AT1G09230
PeakStop,Chr1,2997826,2997926,100,-3.1660064224,4.16E-05,StopCodon,IMPA-4
PeakStop,Chr1,3012876,3012976,100,-3.7466436686,7.45E-14,StopCodon,AT1G09330
PeakStop,Chr1,3017976,3018251,275,-4.0108868544,1.17E-05,StopCodon,CSP41B
PeakStop,Chr1,3033401,3033526,125,-4.3995792067,2.82E-15,StopCodon,AT1G09390
PeakStop,Chr1,3045026,3045176,150,-3.525579237,2.27E-19,StopCodon,ACLA-3
PeakStop,Chr1,3107551,3107726,175,-3.9919158069,2.12E-41,StopCodon,AT1G09590
PeakStop,Chr1,3124351,3124476,125,-3.2402590843,1.48E-08,StopCodon,AT1G09645
PeakStop,Chr1,3136319,3136426,107,-3.9352825266,5.97E-50,StopCodon,AT1G09690
PeakStop,Chr1,3137842,3137951,109,-3.7260173074,6.06E-09,StopCodon,HYL1
PeakStop,Chr1,3147903,3148001,98,-2.5919443438,0.0018043129,StopCodon,AT1G09730
PeakMul,Chr1,3157651,3157801,150,-3.6315018723,2.51E-09,StartCodon,AT1G09750
PeakMul,Chr1,3157901,3158076,175,-2.9465796931,1.56E-32,CDS,AT1G09750
PeakStop,Chr1,3165101,3165201,100,-3.2514265914,1.59E-09,StopCodon,ATCDC5
PeakStop,Chr1,3165461,3165551,90,-2.7541312723,0.0001365079,StopCodon,AT1G09780
PeakStop,Chr1,3176701,3176801,100,-4.0555324513,6.04E-12,StopCodon,ATP-PRT2
PeakStart,Chr1,3194826,3194926,100,-3.2476620392,3.25E-05,StartCodon,AT1G09830
PeakStop,Chr1,3208426,3208576,150,-4.8697122099,2.90E-38,StopCodon,AT1G09870
PeakStop,Chr1,3220162,3220276,114,-4.6567106855,5.47E-11,StopCodon,AT1G09910
PeakStop,Chr1,3224730,3224876,146,-5.0474055901,2.10E-13,StopCodon,AT1G09920
PeakStart,Chr1,3252400,3252501,101,-5.0578991376,1.54E-19,StartCodon,LRR XI-23
PeakStart,Chr1,3323351,3323476,125,-3.7071206153,1.06E-09,StartCodon,AT1G10140
PeakStart,Chr1,3388226,3388351,125,-3.2896135765,5.91E-08,StartCodon,AT1G10320
PeakStop,Chr1,3397163,3397251,88,-2.5160452352,0.0002905396,StopCodon,GST30B
PeakStop,Chr1,3416780,3416901,121,-4.2339849293,6.56E-09,StopCodon,AT1G10410
PeakStop,Chr1,3442426,3442626,200,-3.4067590975,9.32E-05,StopCodon,ATRR1
PeakStop,Chr1,3465551,3465676,125,-3.5865729445,5.28E-09,StopCodon,emb2004
PeakStop,Chr1,3471276,3471476,200,-4.1284632486,1.24E-21,StopCodon,AT1G10522
PeakStop,Chr1,3491381,3491501,120,-4.3254598408,1.22E-06,3pUTR,AT1G10580
PeakStop,Chr1,3505251,3505351,100,-3.0141219502,0.0007119563,3pUTR,AMSH2
PeakStop,Chr1,3513033,3513176,143,-4.5713060101,8.48E-68,StopCodon,ARFA1F
PeakStop,Chr1,3538076,3538226,150,-4.9621799559,2.11E-71,StopCodon,ACLA-1
PeakStop,Chr1,3568306,3568451,145,-2.8165034237,5.95E-06,StopCodon,AT1G10740
PeakStop,Chr1,3581103,3581251,148,-4.0455659699,1.83E-05,StopCodon,GWD
PeakStart,Chr1,3604851,3604926,75,-2.9761211768,0.0002918014,5pUTR,AT1G10820
PeakStart,Chr1,3607301,3607451,150,-3.112694056,5.91E-10,StartCodon,Z-ISO
PeakStop,Chr1,3616757,3616851,94,-5.0471376197,6.84E-09,3pUTR,AGD4
PeakStop,Chr1,3630276,3630476,200,-3.2820489879,1.09E-18,StopCodon,AT1G10890
PeakStop,Chr1,3644419,3644501,82,-2.6662241437,0.0019013112,3pUTR,LOV1
PeakStop,Chr1,3663601,3663701,100,-2.6476259559,9.27E-17,StopCodon,TMN1
PeakStart,Chr1,3664401,3664526,125,-3.840502658,3.59E-112,StartCodon,ATFD1
PeakStop,Chr1,3813401,3813526,125,-2.6830749743,1.38E-06,StopCodon,AT1G11330
PeakStop,Chr1,3848876,3849026,150,-3.9012712645,4.80E-19,StopCodon,AT1G11430
PeakStop,Chr1,3864228,3864376,148,-4.3822252179,1.30E-08,StopCodon,AT1G11480
PeakStop,Chr1,3917901,3918126,225,-5.3521537631,4.99E-20,StopCodon,ATRBP45B
PeakStop,Chr1,3924301,3924401,100,-4.0647223203,1.58E-06,StopCodon,AT1G11660
PeakStop,Chr1,3969742,3969826,84,-3.8393390238,2.39E-06,3pUTR,LEW1
PeakStop,Chr1,3985026,3985126,100,-2.8819366926,0.0002319328,3pUTR,ADT1
PeakStop,Chr1,3991126,3991226,100,-4.2461536976,4.48E-05,StopCodon,AT1G11820
PeakStop,Chr1,4016888,4017001,113,-4.1314291626,1.08E-59,3pUTR,APA1
PeakMid,Chr1,4084576,4084726,150,-2.4014933461,2.74E-06,CDS,AT1G12080
PeakStop,Chr1,4150626,4150776,150,-4.126390548,9.53E-13,StopCodon,AT1G12230
PeakStop,Chr1,4161251,4161401,150,-3.9688264649,2.69E-06,StopCodon,AT1G12250
PeakStop,Chr1,4174551,4174676,125,-3.3268433913,2.31E-12,StopCodon,Hop1
PeakStop,Chr1,4200601,4200726,125,-3.5926365016,1.39E-05,StopCodon,ATCOAB
PeakStop,Chr1,4224926,4225051,125,-6.3958432043,2.08E-29,StopCodon,CLPR2
PeakStop,Chr1,4263301,4263401,100,-2.7717544131,1.11E-19,3pUTR,AT1G12500
PeakStart,Chr1,4268751,4268851,100,-4.0279872743,1.33E-07,StartCodon,CCS
PeakStop,Chr1,4275853,4275951,98,-2.7363994517,0.0001268358,StopCodon,AT1G12550
PeakMid,Chr1,4307213,4307351,138,-3.8958003177,1.62E-22,CDS,AT1G12650
PeakStop,Chr1,4361657,4361776,119,-4.4496017417,1.03E-12,StopCodon,AT1G12800
PeakStop,Chr1,4378280,4378476,196,-3.7969350226,3.22E-11,3pUTR,DET3
PeakMid,Chr1,4381276,4381376,100,-3.7080837443,7.92E-21,CDS,AT1G12850
PeakStop,Chr1,4436262,4436376,114,-3.2905685841,2.28E-07,StopCodon,AT1G13000
PeakStop,Chr1,4454651,4454801,150,-4.6694551601,2.57E-40,StopCodon,PBE1
PeakMid,Chr1,4487576,4487676,100,-2.8200861834,1.82E-06,CDS,AT1G13160
PeakStop,Chr1,4520101,4520251,150,-3.2718548581,1.09E-08,StopCodon,LINC2
PeakStop,Chr1,4547057,4547151,94,-4.1296130087,3.05E-11,StopCodon,MAP1C
PeakStop,Chr1,4563602,4563701,99,-3.8145459625,7.89E-14,StopCodon,PP2AA3
PeakMul,Chr1,4572511,4572626,115,-3.924986959,5.47E-09,StopCodon,AT1G13350
PeakMul,Chr1,4575601,4575751,150,-3.0330535958,7.25E-09,CDS,AT1G13350
PeakStop,Chr1,4638682,4638826,144,-3.3161838422,7.52E-11,StopCodon,AAPT1
PeakStop,Chr1,4694151,4694276,125,-4.3814682717,5.41E-11,StopCodon,ATE1
PeakStop,Chr1,4712326,4712451,125,-3.4113174104,7.07E-07,StopCodon,AT1G13730
PeakStop,Chr1,4737551,4737651,100,-3.6509133474,7.13E-22,StopCodon,AT1G13820
PeakStop,Chr1,4796426,4796551,125,-4.3242950687,4.49E-12,StopCodon,AT1G13990
PeakStop,Chr1,4799951,4800076,125,-3.9089150689,1.91E-31,StopCodon,VIK
PeakStop,Chr1,4805315,4805451,136,-3.8221227861,7.78E-06,StopCodon,AT1G14030
PeakStop,Chr1,4875012,4875101,89,-2.8869677423,1.92E-08,StopCodon,AT1G14270
PeakStop,Chr1,4886605,4886701,96,-3.7743463711,4.00E-09,StopCodon,AT1G14310
PeakStop,Chr1,4889476,4889601,125,-3.271117407,3.43E-21,3pUTR,SAC52
PeakStop,Chr1,4898776,4898901,125,-3.7096254919,3.91E-07,StopCodon,AT1G14340
PeakStart,Chr1,4899195,4899351,156,-3.6877854139,0.0005104132,StartCodon,AT1G14345
PeakStart,Chr1,4908401,4908451,50,-2.7819648487,0.0021332641,StartCodon,AtMYB124
PeakStop,Chr1,4917876,4918001,125,-3.0901337498,2.82E-07,StopCodon,APK2A
PeakStop,Chr1,4927136,4927276,140,-4.9694877587,1.65E-29,StopCodon,UBC1
PeakStop,Chr1,4946341,4946501,160,-4.8558978217,2.18E-13,3pUTR,AT1G14450
PeakStop,Chr1,4983101,4983201,100,-3.3396713306,3.15E-06,StopCodon,AT1G14560
PeakStop,Chr1,4998863,4999001,138,-5.9398187804,3.66E-30,StopCodon,AT1G14590
PeakStop,Chr1,5008448,5008551,103,-3.2518826929,2.80E-13,StopCodon,VALRS
PeakStop,Chr1,5030501,5030601,100,-2.5805659914,1.31E-21,StopCodon,AT1G14650
PeakStop,Chr1,5051913,5052026,113,-3.4856657197,4.34E-06,3pUTR,MAP65-7
PeakStop,Chr1,5062006,5062201,195,-3.620465864,8.59E-11,StopCodon,AT1G14710
PeakStop,Chr1,5066708,5066826,118,-3.8458085959,1.56E-33,StopCodon,EXGT-A2
PeakStop,Chr1,5102612,5102726,114,-4.4233137489,0.0001656216,StopCodon,AT1G14810
PeakStop,Chr1,5105191,5105301,110,-3.8326173274,2.57E-05,StopCodon,AT1G14820
PeakStop,Chr1,5107580,5107726,146,-4.8119754184,3.61E-27,StopCodon,DRP1C
PeakStop,Chr1,5165765,5165876,111,-3.4659925438,6.58E-19,3pUTR,CPN10
PeakStop,Chr1,5203901,5204101,200,-3.116675389,1.13E-43,StopCodon,AT1G15120
PeakMid,Chr1,5204851,5205051,200,-3.1530308418,2.75E-06,CDS,AT1G15125
PeakStop,Chr1,5206301,5206501,200,-3.4478298087,7.75E-18,StopCodon,AT1G15130
PeakBoth,Chr1,5210323,5210426,103,-3.9933820565,6.32E-08,StopCodon,AT1G15140
PeakBoth,Chr1,5212051,5212176,125,-3.1516915514,1.48E-14,StartCodon,AT1G15140
PeakStop,Chr1,5226526,5226626,100,-3.5733817495,6.03E-05,StopCodon,AT1G15180
PeakStop,Chr1,5228409,5228826,417,-3.5721620967,1.03E-17,StopCodon,AT1G15200
PeakStop,Chr1,5239801,5240001,200,-3.607288169,0.000422968,StopCodon,AT1G15215
PeakStop,Chr1,5250726,5250851,125,-4.0488117219,7.25E-12,StopCodon,AT1G15270
PeakMid,Chr1,5269326,5269401,75,-2.6366318158,0.0005548591,CDS,ATHSRP54A
PeakMul,Chr1,5275767,5275926,159,-2.9118850974,6.41E-07,StopCodon,MBD10
PeakMul,Chr1,5276426,5276676,250,-3.2033229198,5.69E-98,CDS,MBD10
PeakStop,Chr1,5288326,5288451,125,-3.396851514,2.14E-05,StopCodon,AT1G15370
PeakStop,Chr1,5300776,5300876,100,-4.0956045189,7.89E-06,3pUTR,AT1G15415
PeakStop,Chr1,5306131,5306251,120,-4.7827600543,4.60E-44,StopCodon,PWP2
PeakStop,Chr1,5328676,5328751,75,-2.3326246994,2.80E-10,StopCodon,ATNTT2
PeakMid,Chr1,5341551,5341776,225,-3.1405864643,3.07E-09,CDS,AT1G15530
PeakStop,Chr1,5407523,5407626,103,-3.1926488408,0.0001277928,StopCodon,AT1G15730
PeakStop,Chr1,5414501,5414801,300,-4.6609379975,1.24E-22,StopCodon,AT1G15740
PeakStop,Chr1,5414981,5415101,120,-4.642571441,1.11E-23,StopCodon,WSIP1
